Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),2347,Montenegro,MNE,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),952,Montenegro,MNE,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),115,Montenegro,MNE,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),104,Montenegro,MNE,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),103,Montenegro,MNE,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),99,Montenegro,MNE,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),82,Montenegro,MNE,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),73,Montenegro,MNE,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),67,Montenegro,MNE,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),57,Montenegro,MNE,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),54,Montenegro,MNE,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),36,Montenegro,MNE,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),29,Montenegro,MNE,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),28,Montenegro,MNE,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),14,Montenegro,MNE,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",12,Montenegro,MNE,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),7,Montenegro,MNE,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),6,Montenegro,MNE,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),5,Montenegro,MNE,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),5,Montenegro,MNE,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),3,Montenegro,MNE,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1,Montenegro,MNE,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Montenegro,MNE,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Montenegro,MNE,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Montenegro,MNE,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),0,Montenegro,MNE,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Montenegro,MNE,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Montenegro,MNE,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),2303,Montenegro,MNE,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),941,Montenegro,MNE,1991
