Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),30036,Mozambique,MOZ,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),27680,Mozambique,MOZ,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),20901,Mozambique,MOZ,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19561,Mozambique,MOZ,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),18575,Mozambique,MOZ,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),15537,Mozambique,MOZ,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),10090,Mozambique,MOZ,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),9764,Mozambique,MOZ,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),5897,Mozambique,MOZ,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),4285,Mozambique,MOZ,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3729,Mozambique,MOZ,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2670,Mozambique,MOZ,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2451,Mozambique,MOZ,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2255,Mozambique,MOZ,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2015,Mozambique,MOZ,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1944,Mozambique,MOZ,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1683,Mozambique,MOZ,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1680,Mozambique,MOZ,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1245,Mozambique,MOZ,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),900,Mozambique,MOZ,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),779,Mozambique,MOZ,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),677,Mozambique,MOZ,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),632,Mozambique,MOZ,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",542,Mozambique,MOZ,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),542,Mozambique,MOZ,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),491,Mozambique,MOZ,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,185,Mozambique,MOZ,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),153,Mozambique,MOZ,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),115,Mozambique,MOZ,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),102,Mozambique,MOZ,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),19,Mozambique,MOZ,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Mozambique,MOZ,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Mozambique,MOZ,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),29877,Mozambique,MOZ,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),26497,Mozambique,MOZ,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),20266,Mozambique,MOZ,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),19255,Mozambique,MOZ,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),18312,Mozambique,MOZ,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),15604,Mozambique,MOZ,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),9839,Mozambique,MOZ,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),9522,Mozambique,MOZ,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),5908,Mozambique,MOZ,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),4198,Mozambique,MOZ,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3728,Mozambique,MOZ,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3396,Mozambique,MOZ,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2644,Mozambique,MOZ,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2464,Mozambique,MOZ,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),2122,Mozambique,MOZ,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2027,Mozambique,MOZ,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1685,Mozambique,MOZ,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1563,Mozambique,MOZ,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1260,Mozambique,MOZ,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),899,Mozambique,MOZ,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),779,Mozambique,MOZ,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),671,Mozambique,MOZ,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),650,Mozambique,MOZ,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),598,Mozambique,MOZ,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",529,Mozambique,MOZ,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),481,Mozambique,MOZ,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,271,Mozambique,MOZ,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),155,Mozambique,MOZ,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),113,Mozambique,MOZ,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),102,Mozambique,MOZ,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),20,Mozambique,MOZ,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Mozambique,MOZ,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Mozambique,MOZ,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),29930,Mozambique,MOZ,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),26253,Mozambique,MOZ,1992
