Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),28238,Malaysia,MYS,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),11157,Malaysia,MYS,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),5213,Malaysia,MYS,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),5101,Malaysia,MYS,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),4365,Malaysia,MYS,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3496,Malaysia,MYS,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),3417,Malaysia,MYS,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2622,Malaysia,MYS,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2182,Malaysia,MYS,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1968,Malaysia,MYS,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1651,Malaysia,MYS,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1267,Malaysia,MYS,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1056,Malaysia,MYS,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),988,Malaysia,MYS,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),704,Malaysia,MYS,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),482,Malaysia,MYS,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),423,Malaysia,MYS,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),315,Malaysia,MYS,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),277,Malaysia,MYS,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",205,Malaysia,MYS,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),191,Malaysia,MYS,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),161,Malaysia,MYS,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),154,Malaysia,MYS,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),134,Malaysia,MYS,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),132,Malaysia,MYS,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),127,Malaysia,MYS,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),43,Malaysia,MYS,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),39,Malaysia,MYS,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),11,Malaysia,MYS,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Malaysia,MYS,1990
