Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),2241,Namibia,NAM,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1218,Namibia,NAM,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1063,Namibia,NAM,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1016,Namibia,NAM,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),903,Namibia,NAM,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),659,Namibia,NAM,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),613,Namibia,NAM,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),495,Namibia,NAM,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),470,Namibia,NAM,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),392,Namibia,NAM,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),346,Namibia,NAM,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),339,Namibia,NAM,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),332,Namibia,NAM,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),267,Namibia,NAM,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),234,Namibia,NAM,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),220,Namibia,NAM,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),180,Namibia,NAM,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),136,Namibia,NAM,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),108,Namibia,NAM,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),99,Namibia,NAM,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),77,Namibia,NAM,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),61,Namibia,NAM,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",60,Namibia,NAM,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),24,Namibia,NAM,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),21,Namibia,NAM,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),15,Namibia,NAM,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),15,Namibia,NAM,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),11,Namibia,NAM,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),3,Namibia,NAM,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Namibia,NAM,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Namibia,NAM,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Namibia,NAM,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Namibia,NAM,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),2307,Namibia,NAM,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1229,Namibia,NAM,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1060,Namibia,NAM,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1018,Namibia,NAM,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),918,Namibia,NAM,1991
