Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),284419,Nigeria,NGA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),169472,Nigeria,NGA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),148931,Nigeria,NGA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),121027,Nigeria,NGA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),118057,Nigeria,NGA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),59421,Nigeria,NGA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),43375,Nigeria,NGA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),40226,Nigeria,NGA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),34236,Nigeria,NGA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),25713,Nigeria,NGA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),17749,Nigeria,NGA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),12194,Nigeria,NGA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),11879,Nigeria,NGA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),11832,Nigeria,NGA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),11660,Nigeria,NGA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),10236,Nigeria,NGA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),9769,Nigeria,NGA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),7723,Nigeria,NGA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),6579,Nigeria,NGA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),4984,Nigeria,NGA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),4330,Nigeria,NGA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),4292,Nigeria,NGA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),2937,Nigeria,NGA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2887,Nigeria,NGA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2876,Nigeria,NGA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1431,Nigeria,NGA,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),743,Nigeria,NGA,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),728,Nigeria,NGA,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),95,Nigeria,NGA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),81,Nigeria,NGA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Nigeria,NGA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Nigeria,NGA,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Nigeria,NGA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),297403,Nigeria,NGA,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),174686,Nigeria,NGA,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),157502,Nigeria,NGA,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),125598,Nigeria,NGA,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),120203,Nigeria,NGA,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),60481,Nigeria,NGA,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),44145,Nigeria,NGA,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),41349,Nigeria,NGA,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),35172,Nigeria,NGA,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),26125,Nigeria,NGA,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),17994,Nigeria,NGA,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),12561,Nigeria,NGA,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),12398,Nigeria,NGA,1991
