Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),51094,Netherlands,NLD,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),36424,Netherlands,NLD,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),6934,Netherlands,NLD,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4863,Netherlands,NLD,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),4601,Netherlands,NLD,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3966,Netherlands,NLD,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3657,Netherlands,NLD,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1883,Netherlands,NLD,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1716,Netherlands,NLD,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1677,Netherlands,NLD,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1454,Netherlands,NLD,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1169,Netherlands,NLD,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),637,Netherlands,NLD,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),307,Netherlands,NLD,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),198,Netherlands,NLD,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),188,Netherlands,NLD,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),150,Netherlands,NLD,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),140,Netherlands,NLD,1990
