Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),21155,Norway,NOR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10388,Norway,NOR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2979,Norway,NOR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1706,Norway,NOR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1523,Norway,NOR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1391,Norway,NOR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),734,Norway,NOR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),549,Norway,NOR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),494,Norway,NOR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),367,Norway,NOR,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),339,Norway,NOR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),290,Norway,NOR,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),225,Norway,NOR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),187,Norway,NOR,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),97,Norway,NOR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),94,Norway,NOR,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",81,Norway,NOR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),80,Norway,NOR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),60,Norway,NOR,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),54,Norway,NOR,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),51,Norway,NOR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),34,Norway,NOR,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),32,Norway,NOR,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),18,Norway,NOR,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),12,Norway,NOR,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8,Norway,NOR,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),5,Norway,NOR,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),4,Norway,NOR,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),2,Norway,NOR,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Norway,NOR,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Norway,NOR,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Norway,NOR,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Norway,NOR,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),20796,Norway,NOR,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10387,Norway,NOR,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2951,Norway,NOR,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1747,Norway,NOR,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1546,Norway,NOR,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1377,Norway,NOR,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),720,Norway,NOR,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),558,Norway,NOR,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),431,Norway,NOR,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),357,Norway,NOR,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),347,Norway,NOR,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),293,Norway,NOR,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),243,Norway,NOR,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),172,Norway,NOR,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),114,Norway,NOR,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),90,Norway,NOR,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",79,Norway,NOR,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),76,Norway,NOR,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),67,Norway,NOR,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),54,Norway,NOR,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),49,Norway,NOR,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),38,Norway,NOR,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),33,Norway,NOR,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),17,Norway,NOR,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),12,Norway,NOR,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8,Norway,NOR,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),5,Norway,NOR,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),2,Norway,NOR,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),1,Norway,NOR,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1,Norway,NOR,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Norway,NOR,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Norway,NOR,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Norway,NOR,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),20763,Norway,NOR,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10522,Norway,NOR,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2982,Norway,NOR,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1792,Norway,NOR,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1616,Norway,NOR,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1383,Norway,NOR,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),704,Norway,NOR,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),573,Norway,NOR,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),416,Norway,NOR,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),368,Norway,NOR,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),359,Norway,NOR,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),293,Norway,NOR,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),263,Norway,NOR,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),157,Norway,NOR,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),130,Norway,NOR,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),87,Norway,NOR,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",79,Norway,NOR,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),74,Norway,NOR,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),57,Norway,NOR,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),57,Norway,NOR,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),52,Norway,NOR,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),42,Norway,NOR,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),32,Norway,NOR,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),17,Norway,NOR,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),12,Norway,NOR,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8,Norway,NOR,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),5,Norway,NOR,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),5,Norway,NOR,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),2,Norway,NOR,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Norway,NOR,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Norway,NOR,1992
