Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),22,Nauru,NRU,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),7,Nauru,NRU,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6,Nauru,NRU,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5,Nauru,NRU,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),5,Nauru,NRU,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),4,Nauru,NRU,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3,Nauru,NRU,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3,Nauru,NRU,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2,Nauru,NRU,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2,Nauru,NRU,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2,Nauru,NRU,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2,Nauru,NRU,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1,Nauru,NRU,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",0,Nauru,NRU,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Nauru,NRU,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),0,Nauru,NRU,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),0,Nauru,NRU,1990
