Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),21466,Peru,PER,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),20568,Peru,PER,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),15471,Peru,PER,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),12164,Peru,PER,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),10790,Peru,PER,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),8616,Peru,PER,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),6392,Peru,PER,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),4066,Peru,PER,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3785,Peru,PER,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),3354,Peru,PER,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),3320,Peru,PER,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3168,Peru,PER,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2924,Peru,PER,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),2368,Peru,PER,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),2014,Peru,PER,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1593,Peru,PER,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1550,Peru,PER,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1300,Peru,PER,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1245,Peru,PER,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1146,Peru,PER,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),664,Peru,PER,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),590,Peru,PER,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),571,Peru,PER,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),504,Peru,PER,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),501,Peru,PER,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",477,Peru,PER,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),347,Peru,PER,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),322,Peru,PER,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),294,Peru,PER,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),157,Peru,PER,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),74,Peru,PER,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),70,Peru,PER,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Peru,PER,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),19708,Peru,PER,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),19157,Peru,PER,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),15088,Peru,PER,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),11716,Peru,PER,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),10363,Peru,PER,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),7862,Peru,PER,1991
