Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),45711,Philippines,PHL,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),42008,Philippines,PHL,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),37671,Philippines,PHL,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),30144,Philippines,PHL,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),28901,Philippines,PHL,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22901,Philippines,PHL,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),20035,Philippines,PHL,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),18284,Philippines,PHL,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),14186,Philippines,PHL,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),10415,Philippines,PHL,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),10259,Philippines,PHL,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),8280,Philippines,PHL,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),7844,Philippines,PHL,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),5903,Philippines,PHL,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5524,Philippines,PHL,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5098,Philippines,PHL,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),4196,Philippines,PHL,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),4052,Philippines,PHL,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),3330,Philippines,PHL,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),3125,Philippines,PHL,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2202,Philippines,PHL,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1809,Philippines,PHL,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),1195,Philippines,PHL,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),944,Philippines,PHL,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),917,Philippines,PHL,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",916,Philippines,PHL,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),905,Philippines,PHL,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),765,Philippines,PHL,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,457,Philippines,PHL,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),246,Philippines,PHL,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),189,Philippines,PHL,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),140,Philippines,PHL,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Philippines,PHL,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),44960,Philippines,PHL,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),40593,Philippines,PHL,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),38512,Philippines,PHL,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),29935,Philippines,PHL,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),28058,Philippines,PHL,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),21995,Philippines,PHL,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),19978,Philippines,PHL,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),18530,Philippines,PHL,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),14337,Philippines,PHL,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),10509,Philippines,PHL,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),10426,Philippines,PHL,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),8161,Philippines,PHL,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),8019,Philippines,PHL,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),6793,Philippines,PHL,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),5694,Philippines,PHL,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5231,Philippines,PHL,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4822,Philippines,PHL,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),4266,Philippines,PHL,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),4037,Philippines,PHL,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),3099,Philippines,PHL,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2106,Philippines,PHL,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1980,Philippines,PHL,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),1142,Philippines,PHL,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),956,Philippines,PHL,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),944,Philippines,PHL,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",894,Philippines,PHL,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),863,Philippines,PHL,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),698,Philippines,PHL,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,432,Philippines,PHL,1991
