Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5599,Papua New Guinea,PNG,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4378,Papua New Guinea,PNG,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),3338,Papua New Guinea,PNG,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2276,Papua New Guinea,PNG,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2241,Papua New Guinea,PNG,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1988,Papua New Guinea,PNG,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1389,Papua New Guinea,PNG,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1269,Papua New Guinea,PNG,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1077,Papua New Guinea,PNG,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),704,Papua New Guinea,PNG,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),641,Papua New Guinea,PNG,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),629,Papua New Guinea,PNG,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),472,Papua New Guinea,PNG,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",321,Papua New Guinea,PNG,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),279,Papua New Guinea,PNG,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),253,Papua New Guinea,PNG,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),219,Papua New Guinea,PNG,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),191,Papua New Guinea,PNG,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),169,Papua New Guinea,PNG,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),166,Papua New Guinea,PNG,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),146,Papua New Guinea,PNG,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),125,Papua New Guinea,PNG,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),101,Papua New Guinea,PNG,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),80,Papua New Guinea,PNG,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),69,Papua New Guinea,PNG,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),33,Papua New Guinea,PNG,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),31,Papua New Guinea,PNG,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),14,Papua New Guinea,PNG,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,12,Papua New Guinea,PNG,1990
