Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),196011,Poland,POL,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),83481,Poland,POL,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),14579,Poland,POL,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),14467,Poland,POL,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),8446,Poland,POL,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),8381,Poland,POL,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6942,Poland,POL,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6912,Poland,POL,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),6450,Poland,POL,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),6124,Poland,POL,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),4413,Poland,POL,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),4406,Poland,POL,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),2738,Poland,POL,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2042,Poland,POL,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),1921,Poland,POL,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),1772,Poland,POL,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1380,Poland,POL,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),1059,Poland,POL,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",723,Poland,POL,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),516,Poland,POL,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),294,Poland,POL,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),262,Poland,POL,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),109,Poland,POL,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),102,Poland,POL,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),45,Poland,POL,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),30,Poland,POL,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),20,Poland,POL,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),15,Poland,POL,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1,Poland,POL,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,1,Poland,POL,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Poland,POL,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Poland,POL,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Poland,POL,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),203919,Poland,POL,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),87179,Poland,POL,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),15111,Poland,POL,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),14503,Poland,POL,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),8872,Poland,POL,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),8659,Poland,POL,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),7479,Poland,POL,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),6931,Poland,POL,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),6909,Poland,POL,1991
