Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8069,Puerto Rico,PRI,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4521,Puerto Rico,PRI,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1703,Puerto Rico,PRI,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1562,Puerto Rico,PRI,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1269,Puerto Rico,PRI,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1066,Puerto Rico,PRI,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),995,Puerto Rico,PRI,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),964,Puerto Rico,PRI,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),949,Puerto Rico,PRI,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),754,Puerto Rico,PRI,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),730,Puerto Rico,PRI,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),655,Puerto Rico,PRI,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),588,Puerto Rico,PRI,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),367,Puerto Rico,PRI,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),224,Puerto Rico,PRI,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),157,Puerto Rico,PRI,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),103,Puerto Rico,PRI,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),96,Puerto Rico,PRI,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),85,Puerto Rico,PRI,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),50,Puerto Rico,PRI,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),47,Puerto Rico,PRI,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),41,Puerto Rico,PRI,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",36,Puerto Rico,PRI,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),25,Puerto Rico,PRI,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),19,Puerto Rico,PRI,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),18,Puerto Rico,PRI,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),13,Puerto Rico,PRI,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),3,Puerto Rico,PRI,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Puerto Rico,PRI,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Puerto Rico,PRI,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8060,Puerto Rico,PRI,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4625,Puerto Rico,PRI,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1809,Puerto Rico,PRI,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1589,Puerto Rico,PRI,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1267,Puerto Rico,PRI,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1115,Puerto Rico,PRI,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1083,Puerto Rico,PRI,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1016,Puerto Rico,PRI,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),998,Puerto Rico,PRI,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),871,Puerto Rico,PRI,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),735,Puerto Rico,PRI,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),689,Puerto Rico,PRI,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),544,Puerto Rico,PRI,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),369,Puerto Rico,PRI,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),229,Puerto Rico,PRI,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),162,Puerto Rico,PRI,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),100,Puerto Rico,PRI,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),92,Puerto Rico,PRI,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),83,Puerto Rico,PRI,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),54,Puerto Rico,PRI,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),44,Puerto Rico,PRI,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),41,Puerto Rico,PRI,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",36,Puerto Rico,PRI,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),33,Puerto Rico,PRI,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),20,Puerto Rico,PRI,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),18,Puerto Rico,PRI,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),13,Puerto Rico,PRI,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),3,Puerto Rico,PRI,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Puerto Rico,PRI,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Puerto Rico,PRI,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8141,Puerto Rico,PRI,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4744,Puerto Rico,PRI,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1935,Puerto Rico,PRI,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1631,Puerto Rico,PRI,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1295,Puerto Rico,PRI,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1267,Puerto Rico,PRI,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1108,Puerto Rico,PRI,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1090,Puerto Rico,PRI,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1005,Puerto Rico,PRI,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),951,Puerto Rico,PRI,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),751,Puerto Rico,PRI,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),726,Puerto Rico,PRI,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),549,Puerto Rico,PRI,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),373,Puerto Rico,PRI,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),235,Puerto Rico,PRI,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),168,Puerto Rico,PRI,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),96,Puerto Rico,PRI,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),86,Puerto Rico,PRI,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),83,Puerto Rico,PRI,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),59,Puerto Rico,PRI,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),48,Puerto Rico,PRI,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),46,Puerto Rico,PRI,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),39,Puerto Rico,PRI,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",38,Puerto Rico,PRI,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),21,Puerto Rico,PRI,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),19,Puerto Rico,PRI,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),18,Puerto Rico,PRI,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),12,Puerto Rico,PRI,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),4,Puerto Rico,PRI,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1,Puerto Rico,PRI,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Puerto Rico,PRI,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Puerto Rico,PRI,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Puerto Rico,PRI,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8332,Puerto Rico,PRI,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4896,Puerto Rico,PRI,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2079,Puerto Rico,PRI,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1717,Puerto Rico,PRI,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1336,Puerto Rico,PRI,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1278,Puerto Rico,PRI,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1191,Puerto Rico,PRI,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1171,Puerto Rico,PRI,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1049,Puerto Rico,PRI,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1015,Puerto Rico,PRI,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),777,Puerto Rico,PRI,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),767,Puerto Rico,PRI,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),523,Puerto Rico,PRI,1993
