Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),45575,North Korea,PRK,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),23751,North Korea,PRK,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),19507,North Korea,PRK,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),13601,North Korea,PRK,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),13165,North Korea,PRK,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),6647,North Korea,PRK,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),6399,North Korea,PRK,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3622,North Korea,PRK,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2933,North Korea,PRK,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2931,North Korea,PRK,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2882,North Korea,PRK,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2377,North Korea,PRK,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2126,North Korea,PRK,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1913,North Korea,PRK,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1844,North Korea,PRK,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1734,North Korea,PRK,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1009,North Korea,PRK,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1003,North Korea,PRK,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),921,North Korea,PRK,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),879,North Korea,PRK,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),549,North Korea,PRK,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),436,North Korea,PRK,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),432,North Korea,PRK,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",388,North Korea,PRK,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),231,North Korea,PRK,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),229,North Korea,PRK,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),106,North Korea,PRK,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),31,North Korea,PRK,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,North Korea,PRK,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,North Korea,PRK,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),47352,North Korea,PRK,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),24504,North Korea,PRK,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),20182,North Korea,PRK,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),13417,North Korea,PRK,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),12775,North Korea,PRK,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),6671,North Korea,PRK,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),6506,North Korea,PRK,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3687,North Korea,PRK,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2944,North Korea,PRK,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),2911,North Korea,PRK,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2648,North Korea,PRK,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2442,North Korea,PRK,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2211,North Korea,PRK,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1979,North Korea,PRK,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1638,North Korea,PRK,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1538,North Korea,PRK,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),976,North Korea,PRK,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),971,North Korea,PRK,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),882,North Korea,PRK,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),878,North Korea,PRK,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),570,North Korea,PRK,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),432,North Korea,PRK,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),421,North Korea,PRK,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",380,North Korea,PRK,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),237,North Korea,PRK,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),235,North Korea,PRK,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),106,North Korea,PRK,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),40,North Korea,PRK,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,North Korea,PRK,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,North Korea,PRK,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,North Korea,PRK,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),49264,North Korea,PRK,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),25237,North Korea,PRK,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),20893,North Korea,PRK,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),13157,North Korea,PRK,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),12353,North Korea,PRK,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),6670,North Korea,PRK,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),6613,North Korea,PRK,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3749,North Korea,PRK,1992
