Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),3887,Palestine,PSE,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1846,Palestine,PSE,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1117,Palestine,PSE,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),487,Palestine,PSE,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),482,Palestine,PSE,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),436,Palestine,PSE,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),388,Palestine,PSE,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),342,Palestine,PSE,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),319,Palestine,PSE,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),315,Palestine,PSE,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),206,Palestine,PSE,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),165,Palestine,PSE,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),101,Palestine,PSE,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),71,Palestine,PSE,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),69,Palestine,PSE,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,62,Palestine,PSE,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),58,Palestine,PSE,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",46,Palestine,PSE,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),44,Palestine,PSE,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),42,Palestine,PSE,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),38,Palestine,PSE,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),34,Palestine,PSE,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),20,Palestine,PSE,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),19,Palestine,PSE,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),16,Palestine,PSE,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),6,Palestine,PSE,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),3,Palestine,PSE,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),2,Palestine,PSE,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),2,Palestine,PSE,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Palestine,PSE,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Palestine,PSE,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Palestine,PSE,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Palestine,PSE,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),3931,Palestine,PSE,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),1838,Palestine,PSE,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),1132,Palestine,PSE,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),491,Palestine,PSE,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),463,Palestine,PSE,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),443,Palestine,PSE,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),391,Palestine,PSE,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),344,Palestine,PSE,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),320,Palestine,PSE,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),316,Palestine,PSE,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),207,Palestine,PSE,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),163,Palestine,PSE,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),99,Palestine,PSE,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),71,Palestine,PSE,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),66,Palestine,PSE,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),58,Palestine,PSE,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",46,Palestine,PSE,1991
