Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,French Polynesia,PYF,1995
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",,French Polynesia,PYF,1995
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),,French Polynesia,PYF,1995
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,French Polynesia,PYF,1995
