Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),368,Qatar,QAT,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),200,Qatar,QAT,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),135,Qatar,QAT,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),115,Qatar,QAT,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),65,Qatar,QAT,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),48,Qatar,QAT,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),37,Qatar,QAT,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),29,Qatar,QAT,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),26,Qatar,QAT,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),25,Qatar,QAT,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),21,Qatar,QAT,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),14,Qatar,QAT,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",12,Qatar,QAT,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),8,Qatar,QAT,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),8,Qatar,QAT,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),8,Qatar,QAT,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),5,Qatar,QAT,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),4,Qatar,QAT,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),4,Qatar,QAT,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),3,Qatar,QAT,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2,Qatar,QAT,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),2,Qatar,QAT,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),2,Qatar,QAT,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),1,Qatar,QAT,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),1,Qatar,QAT,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1,Qatar,QAT,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),1,Qatar,QAT,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Qatar,QAT,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Qatar,QAT,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Qatar,QAT,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),0,Qatar,QAT,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Qatar,QAT,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Qatar,QAT,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),389,Qatar,QAT,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),206,Qatar,QAT,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),143,Qatar,QAT,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),111,Qatar,QAT,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),70,Qatar,QAT,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),49,Qatar,QAT,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),38,Qatar,QAT,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),31,Qatar,QAT,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),26,Qatar,QAT,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),26,Qatar,QAT,1991
