Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),890902,Russia,RUS,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),276015,Russia,RUS,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),57982,Russia,RUS,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),46396,Russia,RUS,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),43349,Russia,RUS,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),39298,Russia,RUS,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),28335,Russia,RUS,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),27077,Russia,RUS,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),23706,Russia,RUS,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),22422,Russia,RUS,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),16502,Russia,RUS,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),15687,Russia,RUS,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),14144,Russia,RUS,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),13528,Russia,RUS,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),10378,Russia,RUS,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),9023,Russia,RUS,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),8691,Russia,RUS,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),8538,Russia,RUS,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",7205,Russia,RUS,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),5882,Russia,RUS,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),4495,Russia,RUS,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3377,Russia,RUS,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2255,Russia,RUS,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1610,Russia,RUS,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),958,Russia,RUS,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),465,Russia,RUS,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),239,Russia,RUS,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),192,Russia,RUS,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),159,Russia,RUS,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),86,Russia,RUS,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Russia,RUS,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Russia,RUS,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Russia,RUS,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),908560,Russia,RUS,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),277809,Russia,RUS,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),58080,Russia,RUS,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),49054,Russia,RUS,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),44622,Russia,RUS,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),39515,Russia,RUS,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),30982,Russia,RUS,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),29957,Russia,RUS,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),24804,Russia,RUS,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),22628,Russia,RUS,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),17257,Russia,RUS,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),15027,Russia,RUS,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),14474,Russia,RUS,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),14178,Russia,RUS,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),10594,Russia,RUS,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),9292,Russia,RUS,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),8977,Russia,RUS,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),8903,Russia,RUS,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",7592,Russia,RUS,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),5987,Russia,RUS,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),4902,Russia,RUS,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),3685,Russia,RUS,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2199,Russia,RUS,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1547,Russia,RUS,1991
