Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),16024,Rwanda,RWA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),12357,Rwanda,RWA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),11216,Rwanda,RWA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),10440,Rwanda,RWA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),10100,Rwanda,RWA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),9090,Rwanda,RWA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4657,Rwanda,RWA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3921,Rwanda,RWA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),3458,Rwanda,RWA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3338,Rwanda,RWA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2761,Rwanda,RWA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),2644,Rwanda,RWA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2527,Rwanda,RWA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2428,Rwanda,RWA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2417,Rwanda,RWA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1940,Rwanda,RWA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1538,Rwanda,RWA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1391,Rwanda,RWA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),927,Rwanda,RWA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),731,Rwanda,RWA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),477,Rwanda,RWA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),379,Rwanda,RWA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),321,Rwanda,RWA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),261,Rwanda,RWA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",253,Rwanda,RWA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),240,Rwanda,RWA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),87,Rwanda,RWA,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),85,Rwanda,RWA,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),63,Rwanda,RWA,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),10,Rwanda,RWA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Rwanda,RWA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Rwanda,RWA,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Rwanda,RWA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),16838,Rwanda,RWA,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),12575,Rwanda,RWA,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),11550,Rwanda,RWA,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),10865,Rwanda,RWA,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),10733,Rwanda,RWA,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),9015,Rwanda,RWA,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4871,Rwanda,RWA,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4086,Rwanda,RWA,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),3652,Rwanda,RWA,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),3525,Rwanda,RWA,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2859,Rwanda,RWA,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2618,Rwanda,RWA,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2557,Rwanda,RWA,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2557,Rwanda,RWA,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2519,Rwanda,RWA,1991
