Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),20459,Saudi Arabia,SAU,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),10236,Saudi Arabia,SAU,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),7552,Saudi Arabia,SAU,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4258,Saudi Arabia,SAU,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),3473,Saudi Arabia,SAU,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2812,Saudi Arabia,SAU,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2614,Saudi Arabia,SAU,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2561,Saudi Arabia,SAU,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2477,Saudi Arabia,SAU,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2394,Saudi Arabia,SAU,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),2047,Saudi Arabia,SAU,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1375,Saudi Arabia,SAU,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),828,Saudi Arabia,SAU,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),571,Saudi Arabia,SAU,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),411,Saudi Arabia,SAU,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",399,Saudi Arabia,SAU,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),339,Saudi Arabia,SAU,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),270,Saudi Arabia,SAU,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),260,Saudi Arabia,SAU,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),233,Saudi Arabia,SAU,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),230,Saudi Arabia,SAU,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),165,Saudi Arabia,SAU,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),163,Saudi Arabia,SAU,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),127,Saudi Arabia,SAU,1990
