Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),14193,Senegal,SEN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),9916,Senegal,SEN,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),8595,Senegal,SEN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8555,Senegal,SEN,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),7957,Senegal,SEN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),3998,Senegal,SEN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3354,Senegal,SEN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2669,Senegal,SEN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2610,Senegal,SEN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1950,Senegal,SEN,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1555,Senegal,SEN,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1510,Senegal,SEN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1489,Senegal,SEN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1334,Senegal,SEN,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1314,Senegal,SEN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1229,Senegal,SEN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),889,Senegal,SEN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),548,Senegal,SEN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),437,Senegal,SEN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),384,Senegal,SEN,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),271,Senegal,SEN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",246,Senegal,SEN,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),198,Senegal,SEN,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),145,Senegal,SEN,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),124,Senegal,SEN,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),111,Senegal,SEN,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),104,Senegal,SEN,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),54,Senegal,SEN,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),46,Senegal,SEN,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,20,Senegal,SEN,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),8,Senegal,SEN,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Senegal,SEN,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Senegal,SEN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),14182,Senegal,SEN,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),10031,Senegal,SEN,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),8636,Senegal,SEN,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),8484,Senegal,SEN,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),8122,Senegal,SEN,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),4004,Senegal,SEN,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3438,Senegal,SEN,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2740,Senegal,SEN,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2578,Senegal,SEN,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1944,Senegal,SEN,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),1539,Senegal,SEN,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1530,Senegal,SEN,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),1494,Senegal,SEN,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1360,Senegal,SEN,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1322,Senegal,SEN,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1245,Senegal,SEN,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),925,Senegal,SEN,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),565,Senegal,SEN,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),450,Senegal,SEN,1991
