Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),5081,Singapore,SGP,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),3393,Singapore,SGP,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1292,Singapore,SGP,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),958,Singapore,SGP,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),455,Singapore,SGP,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),400,Singapore,SGP,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),373,Singapore,SGP,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),310,Singapore,SGP,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),283,Singapore,SGP,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),275,Singapore,SGP,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),206,Singapore,SGP,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),138,Singapore,SGP,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),128,Singapore,SGP,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),66,Singapore,SGP,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),63,Singapore,SGP,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),35,Singapore,SGP,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),35,Singapore,SGP,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),22,Singapore,SGP,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",11,Singapore,SGP,1990
