Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6256,El Salvador,SLV,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),2872,El Salvador,SLV,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2601,El Salvador,SLV,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2469,El Salvador,SLV,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),2403,El Salvador,SLV,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2124,El Salvador,SLV,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),1906,El Salvador,SLV,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1434,El Salvador,SLV,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1142,El Salvador,SLV,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1042,El Salvador,SLV,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),979,El Salvador,SLV,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),971,El Salvador,SLV,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),624,El Salvador,SLV,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),591,El Salvador,SLV,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),574,El Salvador,SLV,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),543,El Salvador,SLV,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),438,El Salvador,SLV,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),437,El Salvador,SLV,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),414,El Salvador,SLV,1990
