Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),10826,South Sudan,SSD,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8186,South Sudan,SSD,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),7992,South Sudan,SSD,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),7940,South Sudan,SSD,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),6574,South Sudan,SSD,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6148,South Sudan,SSD,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),4758,South Sudan,SSD,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),4638,South Sudan,SSD,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),2982,South Sudan,SSD,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2273,South Sudan,SSD,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1968,South Sudan,SSD,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1396,South Sudan,SSD,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1209,South Sudan,SSD,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),905,South Sudan,SSD,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),790,South Sudan,SSD,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),651,South Sudan,SSD,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),639,South Sudan,SSD,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),315,South Sudan,SSD,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),306,South Sudan,SSD,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),282,South Sudan,SSD,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),278,South Sudan,SSD,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),261,South Sudan,SSD,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",227,South Sudan,SSD,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),179,South Sudan,SSD,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),133,South Sudan,SSD,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),70,South Sudan,SSD,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),66,South Sudan,SSD,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),39,South Sudan,SSD,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),5,South Sudan,SSD,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,South Sudan,SSD,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,South Sudan,SSD,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,South Sudan,SSD,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Sudan,SSD,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),10829,South Sudan,SSD,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8116,South Sudan,SSD,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),8018,South Sudan,SSD,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),7925,South Sudan,SSD,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),6586,South Sudan,SSD,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),6160,South Sudan,SSD,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),4845,South Sudan,SSD,1991
