Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),28927,Slovakia,SVK,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10543,Slovakia,SVK,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2785,Slovakia,SVK,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2675,Slovakia,SVK,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1634,Slovakia,SVK,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1088,Slovakia,SVK,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1052,Slovakia,SVK,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1039,Slovakia,SVK,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),953,Slovakia,SVK,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),843,Slovakia,SVK,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),688,Slovakia,SVK,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),512,Slovakia,SVK,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),269,Slovakia,SVK,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),214,Slovakia,SVK,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),213,Slovakia,SVK,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),178,Slovakia,SVK,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),124,Slovakia,SVK,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),113,Slovakia,SVK,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",77,Slovakia,SVK,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),55,Slovakia,SVK,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),42,Slovakia,SVK,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),40,Slovakia,SVK,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),18,Slovakia,SVK,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),11,Slovakia,SVK,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8,Slovakia,SVK,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5,Slovakia,SVK,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),3,Slovakia,SVK,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Slovakia,SVK,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Slovakia,SVK,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Slovakia,SVK,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),28461,Slovakia,SVK,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10578,Slovakia,SVK,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2768,Slovakia,SVK,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2625,Slovakia,SVK,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1607,Slovakia,SVK,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1109,Slovakia,SVK,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1022,Slovakia,SVK,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),1021,Slovakia,SVK,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),933,Slovakia,SVK,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),833,Slovakia,SVK,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),681,Slovakia,SVK,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),524,Slovakia,SVK,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),265,Slovakia,SVK,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),212,Slovakia,SVK,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),209,Slovakia,SVK,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),174,Slovakia,SVK,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),116,Slovakia,SVK,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),108,Slovakia,SVK,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",75,Slovakia,SVK,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),54,Slovakia,SVK,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),42,Slovakia,SVK,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),39,Slovakia,SVK,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),17,Slovakia,SVK,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),11,Slovakia,SVK,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8,Slovakia,SVK,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5,Slovakia,SVK,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),3,Slovakia,SVK,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),1,Slovakia,SVK,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Slovakia,SVK,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Slovakia,SVK,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),27839,Slovakia,SVK,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10612,Slovakia,SVK,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2696,Slovakia,SVK,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2572,Slovakia,SVK,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1579,Slovakia,SVK,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1126,Slovakia,SVK,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),997,Slovakia,SVK,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),989,Slovakia,SVK,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),913,Slovakia,SVK,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),813,Slovakia,SVK,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),668,Slovakia,SVK,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),477,Slovakia,SVK,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),259,Slovakia,SVK,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),209,Slovakia,SVK,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),203,Slovakia,SVK,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),172,Slovakia,SVK,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),109,Slovakia,SVK,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),104,Slovakia,SVK,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",73,Slovakia,SVK,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),53,Slovakia,SVK,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),41,Slovakia,SVK,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),37,Slovakia,SVK,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),17,Slovakia,SVK,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),9,Slovakia,SVK,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8,Slovakia,SVK,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5,Slovakia,SVK,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),3,Slovakia,SVK,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2,Slovakia,SVK,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Slovakia,SVK,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Slovakia,SVK,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Slovakia,SVK,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),27406,Slovakia,SVK,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10595,Slovakia,SVK,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2596,Slovakia,SVK,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),2473,Slovakia,SVK,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1512,Slovakia,SVK,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1151,Slovakia,SVK,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),956,Slovakia,SVK,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),931,Slovakia,SVK,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),865,Slovakia,SVK,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),776,Slovakia,SVK,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),651,Slovakia,SVK,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),405,Slovakia,SVK,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),254,Slovakia,SVK,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),193,Slovakia,SVK,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),185,Slovakia,SVK,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),167,Slovakia,SVK,1993
