Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),840,Eswatini,SWZ,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),691,Eswatini,SWZ,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),614,Eswatini,SWZ,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),584,Eswatini,SWZ,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),507,Eswatini,SWZ,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),406,Eswatini,SWZ,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),251,Eswatini,SWZ,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),218,Eswatini,SWZ,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),203,Eswatini,SWZ,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),198,Eswatini,SWZ,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),188,Eswatini,SWZ,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),173,Eswatini,SWZ,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),170,Eswatini,SWZ,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),115,Eswatini,SWZ,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),103,Eswatini,SWZ,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),87,Eswatini,SWZ,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),81,Eswatini,SWZ,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),67,Eswatini,SWZ,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),47,Eswatini,SWZ,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),40,Eswatini,SWZ,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",37,Eswatini,SWZ,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),31,Eswatini,SWZ,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),25,Eswatini,SWZ,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),19,Eswatini,SWZ,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),11,Eswatini,SWZ,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),8,Eswatini,SWZ,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),7,Eswatini,SWZ,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),6,Eswatini,SWZ,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),1,Eswatini,SWZ,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Eswatini,SWZ,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Eswatini,SWZ,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Eswatini,SWZ,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Eswatini,SWZ,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),858,Eswatini,SWZ,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),691,Eswatini,SWZ,1991
