Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),28521,Syria,SYR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),10688,Syria,SYR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4634,Syria,SYR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3592,Syria,SYR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2224,Syria,SYR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2045,Syria,SYR,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1946,Syria,SYR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1911,Syria,SYR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),1354,Syria,SYR,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),1294,Syria,SYR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),1068,Syria,SYR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),910,Syria,SYR,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),834,Syria,SYR,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),463,Syria,SYR,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),447,Syria,SYR,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),422,Syria,SYR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),303,Syria,SYR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),292,Syria,SYR,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",265,Syria,SYR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),247,Syria,SYR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),193,Syria,SYR,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),173,Syria,SYR,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),131,Syria,SYR,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),106,Syria,SYR,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),57,Syria,SYR,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),54,Syria,SYR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),44,Syria,SYR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),32,Syria,SYR,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),8,Syria,SYR,1990
