Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),15655,Tunisia,TUN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5362,Tunisia,TUN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),4064,Tunisia,TUN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),2348,Tunisia,TUN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2325,Tunisia,TUN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1381,Tunisia,TUN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1213,Tunisia,TUN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1030,Tunisia,TUN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),744,Tunisia,TUN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),688,Tunisia,TUN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),523,Tunisia,TUN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),313,Tunisia,TUN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",276,Tunisia,TUN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),276,Tunisia,TUN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),238,Tunisia,TUN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),220,Tunisia,TUN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),219,Tunisia,TUN,1990
