Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),45027,Tanzania,TZA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),35260,Tanzania,TZA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),33464,Tanzania,TZA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),32999,Tanzania,TZA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),30265,Tanzania,TZA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),26564,Tanzania,TZA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),19959,Tanzania,TZA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),14316,Tanzania,TZA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),12472,Tanzania,TZA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),12059,Tanzania,TZA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),8352,Tanzania,TZA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),5356,Tanzania,TZA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),4589,Tanzania,TZA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4190,Tanzania,TZA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),4010,Tanzania,TZA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3738,Tanzania,TZA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3606,Tanzania,TZA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),2751,Tanzania,TZA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1772,Tanzania,TZA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1558,Tanzania,TZA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1180,Tanzania,TZA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),993,Tanzania,TZA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",820,Tanzania,TZA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),806,Tanzania,TZA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),625,Tanzania,TZA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),288,Tanzania,TZA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),189,Tanzania,TZA,1990
