Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),78042,Uganda,UGA,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),44242,Uganda,UGA,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),24236,Uganda,UGA,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),21701,Uganda,UGA,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),16687,Uganda,UGA,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),14464,Uganda,UGA,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),13319,Uganda,UGA,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8120,Uganda,UGA,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),7948,Uganda,UGA,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),7771,Uganda,UGA,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),5804,Uganda,UGA,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5074,Uganda,UGA,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4164,Uganda,UGA,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3010,Uganda,UGA,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2771,Uganda,UGA,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2240,Uganda,UGA,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1546,Uganda,UGA,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),975,Uganda,UGA,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),935,Uganda,UGA,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),893,Uganda,UGA,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),847,Uganda,UGA,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),681,Uganda,UGA,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),604,Uganda,UGA,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",445,Uganda,UGA,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),404,Uganda,UGA,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),243,Uganda,UGA,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),176,Uganda,UGA,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),113,Uganda,UGA,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),104,Uganda,UGA,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,84,Uganda,UGA,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),11,Uganda,UGA,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Uganda,UGA,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Uganda,UGA,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),83383,Uganda,UGA,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),45260,Uganda,UGA,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),24417,Uganda,UGA,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22278,Uganda,UGA,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),17414,Uganda,UGA,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),15200,Uganda,UGA,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),14386,Uganda,UGA,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8580,Uganda,UGA,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8220,Uganda,UGA,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8036,Uganda,UGA,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),6002,Uganda,UGA,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5342,Uganda,UGA,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4334,Uganda,UGA,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3163,Uganda,UGA,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),2991,Uganda,UGA,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2368,Uganda,UGA,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1638,Uganda,UGA,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1061,Uganda,UGA,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1031,Uganda,UGA,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),1020,Uganda,UGA,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),927,Uganda,UGA,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),708,Uganda,UGA,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),634,Uganda,UGA,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",464,Uganda,UGA,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),425,Uganda,UGA,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),262,Uganda,UGA,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),183,Uganda,UGA,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),121,Uganda,UGA,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),112,Uganda,UGA,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),13,Uganda,UGA,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,2,Uganda,UGA,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Uganda,UGA,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Uganda,UGA,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),87233,Uganda,UGA,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),45783,Uganda,UGA,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),24641,Uganda,UGA,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22555,Uganda,UGA,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),17880,Uganda,UGA,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),15700,Uganda,UGA,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),15094,Uganda,UGA,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8867,Uganda,UGA,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8304,Uganda,UGA,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8118,Uganda,UGA,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),6149,Uganda,UGA,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5479,Uganda,UGA,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4416,Uganda,UGA,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3235,Uganda,UGA,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3100,Uganda,UGA,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2456,Uganda,UGA,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1693,Uganda,UGA,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1089,Uganda,UGA,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1077,Uganda,UGA,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),968,Uganda,UGA,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),732,Uganda,UGA,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),646,Uganda,UGA,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",474,Uganda,UGA,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),436,Uganda,UGA,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),272,Uganda,UGA,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),188,Uganda,UGA,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),125,Uganda,UGA,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),115,Uganda,UGA,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),74,Uganda,UGA,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),13,Uganda,UGA,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,2,Uganda,UGA,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Uganda,UGA,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Uganda,UGA,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),90146,Uganda,UGA,1993
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),46646,Uganda,UGA,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),25491,Uganda,UGA,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22697,Uganda,UGA,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),18431,Uganda,UGA,1993
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),16368,Uganda,UGA,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),16120,Uganda,UGA,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),9270,Uganda,UGA,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8357,Uganda,UGA,1993
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8167,Uganda,UGA,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),6565,Uganda,UGA,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5683,Uganda,UGA,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4532,Uganda,UGA,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3350,Uganda,UGA,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3278,Uganda,UGA,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2575,Uganda,UGA,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1768,Uganda,UGA,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1176,Uganda,UGA,1993
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1173,Uganda,UGA,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1032,Uganda,UGA,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),757,Uganda,UGA,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),640,Uganda,UGA,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",487,Uganda,UGA,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),450,Uganda,UGA,1993
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),288,Uganda,UGA,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),194,Uganda,UGA,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),132,Uganda,UGA,1993
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),121,Uganda,UGA,1993
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),14,Uganda,UGA,1993
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Uganda,UGA,1993
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),0,Uganda,UGA,1993
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,Uganda,UGA,1993
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Uganda,UGA,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),92000,Uganda,UGA,1994
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),47282,Uganda,UGA,1994
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),26311,Uganda,UGA,1994
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22695,Uganda,UGA,1994
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),18698,Uganda,UGA,1994
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),17039,Uganda,UGA,1994
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),17023,Uganda,UGA,1994
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),9710,Uganda,UGA,1994
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8244,Uganda,UGA,1994
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),8053,Uganda,UGA,1994
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),6150,Uganda,UGA,1994
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),5889,Uganda,UGA,1994
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),4626,Uganda,UGA,1994
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),3470,Uganda,UGA,1994
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),3455,Uganda,UGA,1994
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),2696,Uganda,UGA,1994
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1843,Uganda,UGA,1994
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1271,Uganda,UGA,1994
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1269,Uganda,UGA,1994
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),1102,Uganda,UGA,1994
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),783,Uganda,UGA,1994
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),675,Uganda,UGA,1994
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",496,Uganda,UGA,1994
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),460,Uganda,UGA,1994
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),304,Uganda,UGA,1994
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),200,Uganda,UGA,1994
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),182,Uganda,UGA,1994
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),139,Uganda,UGA,1994
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),126,Uganda,UGA,1994
Terrorism (deaths),Deaths - Terrorism (deaths) ---,22,Uganda,UGA,1994
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),15,Uganda,UGA,1994
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),7,Uganda,UGA,1994
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Uganda,UGA,1994
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),93253,Uganda,UGA,1995
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),48279,Uganda,UGA,1995
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),27317,Uganda,UGA,1995
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22599,Uganda,UGA,1995
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),18981,Uganda,UGA,1995
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),17725,Uganda,UGA,1995
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),17597,Uganda,UGA,1995
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),10158,Uganda,UGA,1995
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),8185,Uganda,UGA,1995
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),7992,Uganda,UGA,1995
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),6239,Uganda,UGA,1995
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),6080,Uganda,UGA,1995
