Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),350606,Ukraine,UKR,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),115792,Ukraine,UKR,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),33452,Ukraine,UKR,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),16846,Ukraine,UKR,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),12291,Ukraine,UKR,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),11821,Ukraine,UKR,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),10011,Ukraine,UKR,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),7987,Ukraine,UKR,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),7503,Ukraine,UKR,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),6211,Ukraine,UKR,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),5968,Ukraine,UKR,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),4935,Ukraine,UKR,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),4490,Ukraine,UKR,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),3794,Ukraine,UKR,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3044,Ukraine,UKR,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),3019,Ukraine,UKR,1990
