Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),11463,Uruguay,URY,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),8229,Uruguay,URY,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),1320,Uruguay,URY,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),1291,Uruguay,URY,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),820,Uruguay,URY,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),735,Uruguay,URY,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),694,Uruguay,URY,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),585,Uruguay,URY,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),533,Uruguay,URY,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),515,Uruguay,URY,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),507,Uruguay,URY,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),361,Uruguay,URY,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),203,Uruguay,URY,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),170,Uruguay,URY,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),155,Uruguay,URY,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),144,Uruguay,URY,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),131,Uruguay,URY,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),129,Uruguay,URY,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),82,Uruguay,URY,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),73,Uruguay,URY,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",50,Uruguay,URY,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),46,Uruguay,URY,1990
