Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),25991,Venezuela,VEN,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),12533,Venezuela,VEN,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),7142,Venezuela,VEN,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),5105,Venezuela,VEN,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),4104,Venezuela,VEN,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4058,Venezuela,VEN,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),3573,Venezuela,VEN,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3086,Venezuela,VEN,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),2840,Venezuela,VEN,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2124,Venezuela,VEN,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2046,Venezuela,VEN,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1629,Venezuela,VEN,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1548,Venezuela,VEN,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1054,Venezuela,VEN,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1050,Venezuela,VEN,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),931,Venezuela,VEN,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),815,Venezuela,VEN,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),759,Venezuela,VEN,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),666,Venezuela,VEN,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),655,Venezuela,VEN,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),398,Venezuela,VEN,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),282,Venezuela,VEN,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),232,Venezuela,VEN,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),151,Venezuela,VEN,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",146,Venezuela,VEN,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),118,Venezuela,VEN,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),91,Venezuela,VEN,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),64,Venezuela,VEN,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),22,Venezuela,VEN,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),7,Venezuela,VEN,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,Venezuela,VEN,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,0,Venezuela,VEN,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,Venezuela,VEN,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),26930,Venezuela,VEN,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),13007,Venezuela,VEN,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),5831,Venezuela,VEN,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),5208,Venezuela,VEN,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),4081,Venezuela,VEN,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),3713,Venezuela,VEN,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),3292,Venezuela,VEN,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),3249,Venezuela,VEN,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),2984,Venezuela,VEN,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),2186,Venezuela,VEN,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),2108,Venezuela,VEN,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),1719,Venezuela,VEN,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),1703,Venezuela,VEN,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),1147,Venezuela,VEN,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),1021,Venezuela,VEN,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),875,Venezuela,VEN,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),727,Venezuela,VEN,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),674,Venezuela,VEN,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),598,Venezuela,VEN,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),565,Venezuela,VEN,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),392,Venezuela,VEN,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),296,Venezuela,VEN,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),241,Venezuela,VEN,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",141,Venezuela,VEN,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),109,Venezuela,VEN,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),104,Venezuela,VEN,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),85,Venezuela,VEN,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),77,Venezuela,VEN,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,47,Venezuela,VEN,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),24,Venezuela,VEN,1991
