Causes name,Causes Full Description,Death Numbers,Entity,cca3,Year
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),42683,South Africa,ZAF,1990
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),28202,South Africa,ZAF,1990
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),27724,South Africa,ZAF,1990
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22526,South Africa,ZAF,1990
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),22158,South Africa,ZAF,1990
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),20279,South Africa,ZAF,1990
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),19475,South Africa,ZAF,1990
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),19126,South Africa,ZAF,1990
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),12236,South Africa,ZAF,1990
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),9048,South Africa,ZAF,1990
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),8451,South Africa,ZAF,1990
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6732,South Africa,ZAF,1990
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5425,South Africa,ZAF,1990
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5298,South Africa,ZAF,1990
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),4684,South Africa,ZAF,1990
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),4611,South Africa,ZAF,1990
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3168,South Africa,ZAF,1990
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),2850,South Africa,ZAF,1990
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2496,South Africa,ZAF,1990
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2378,South Africa,ZAF,1990
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2304,South Africa,ZAF,1990
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2266,South Africa,ZAF,1990
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),817,South Africa,ZAF,1990
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),469,South Africa,ZAF,1990
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),452,South Africa,ZAF,1990
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),437,South Africa,ZAF,1990
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),414,South Africa,ZAF,1990
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),366,South Africa,ZAF,1990
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),297,South Africa,ZAF,1990
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),255,South Africa,ZAF,1990
Terrorism (deaths),Deaths - Terrorism (deaths) ---,150,South Africa,ZAF,1990
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),12,South Africa,ZAF,1990
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Africa,ZAF,1990
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),44441,South Africa,ZAF,1991
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),28947,South Africa,ZAF,1991
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),27857,South Africa,ZAF,1991
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22355,South Africa,ZAF,1991
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),22225,South Africa,ZAF,1991
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),20178,South Africa,ZAF,1991
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),19507,South Africa,ZAF,1991
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),19340,South Africa,ZAF,1991
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),12793,South Africa,ZAF,1991
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),9357,South Africa,ZAF,1991
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),8838,South Africa,ZAF,1991
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6921,South Africa,ZAF,1991
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5192,South Africa,ZAF,1991
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),5063,South Africa,ZAF,1991
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),5007,South Africa,ZAF,1991
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),4825,South Africa,ZAF,1991
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),4824,South Africa,ZAF,1991
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3309,South Africa,ZAF,1991
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2443,South Africa,ZAF,1991
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2311,South Africa,ZAF,1991
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2292,South Africa,ZAF,1991
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2180,South Africa,ZAF,1991
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),811,South Africa,ZAF,1991
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),494,South Africa,ZAF,1991
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),477,South Africa,ZAF,1991
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),472,South Africa,ZAF,1991
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),449,South Africa,ZAF,1991
Terrorism (deaths),Deaths - Terrorism (deaths) ---,384,South Africa,ZAF,1991
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),312,South Africa,ZAF,1991
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),271,South Africa,ZAF,1991
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),227,South Africa,ZAF,1991
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,South Africa,ZAF,1991
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Africa,ZAF,1991
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),48802,South Africa,ZAF,1992
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),31303,South Africa,ZAF,1992
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),28658,South Africa,ZAF,1992
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),23295,South Africa,ZAF,1992
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22328,South Africa,ZAF,1992
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20975,South Africa,ZAF,1992
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),20223,South Africa,ZAF,1992
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),20137,South Africa,ZAF,1992
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),13841,South Africa,ZAF,1992
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),9993,South Africa,ZAF,1992
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),9765,South Africa,ZAF,1992
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),8684,South Africa,ZAF,1992
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),7486,South Africa,ZAF,1992
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),5311,South Africa,ZAF,1992
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),5128,South Africa,ZAF,1992
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),5060,South Africa,ZAF,1992
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4920,South Africa,ZAF,1992
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3474,South Africa,ZAF,1992
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2567,South Africa,ZAF,1992
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2407,South Africa,ZAF,1992
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2362,South Africa,ZAF,1992
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),2352,South Africa,ZAF,1992
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),849,South Africa,ZAF,1992
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),828,South Africa,ZAF,1992
Terrorism (deaths),Deaths - Terrorism (deaths) ---,706,South Africa,ZAF,1992
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),538,South Africa,ZAF,1992
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),524,South Africa,ZAF,1992
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),467,South Africa,ZAF,1992
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),305,South Africa,ZAF,1992
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),291,South Africa,ZAF,1992
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),192,South Africa,ZAF,1992
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),0,South Africa,ZAF,1992
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Africa,ZAF,1992
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),48659,South Africa,ZAF,1993
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),31285,South Africa,ZAF,1993
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),27152,South Africa,ZAF,1993
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),23049,South Africa,ZAF,1993
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),21915,South Africa,ZAF,1993
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),20285,South Africa,ZAF,1993
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),19446,South Africa,ZAF,1993
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),18551,South Africa,ZAF,1993
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),14626,South Africa,ZAF,1993
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),13925,South Africa,ZAF,1993
Digestive diseases,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),9904,South Africa,ZAF,1993
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),9830,South Africa,ZAF,1993
Self-harm,Deaths - Self-harm - Sex: Both - Age: All Ages (Number),6974,South Africa,ZAF,1993
Chronic kidney disease,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),5274,South Africa,ZAF,1993
Cirrhosis and other chronic liver diseases,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),5066,South Africa,ZAF,1993
Nutritional deficiencies,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),4695,South Africa,ZAF,1993
Protein-energy malnutrition,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),4560,South Africa,ZAF,1993
Alzheimer's disease and other dementias,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),3584,South Africa,ZAF,1993
Meningitis,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),2376,South Africa,ZAF,1993
"Fire, heat, and hot substances","Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",2273,South Africa,ZAF,1993
Drowning,Deaths - Drowning - Sex: Both - Age: All Ages (Number),2231,South Africa,ZAF,1993
Maternal disorders,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),1726,South Africa,ZAF,1993
Poisonings,Deaths - Poisonings - Sex: Both - Age: All Ages (Number),783,South Africa,ZAF,1993
Parkinson's disease,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),542,South Africa,ZAF,1993
Alcohol use disorders,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),525,South Africa,ZAF,1993
Environmental heat and cold exposure,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),452,South Africa,ZAF,1993
Malaria,Deaths - Malaria - Sex: Both - Age: All Ages (Number),345,South Africa,ZAF,1993
Drug use disorders,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),287,South Africa,ZAF,1993
Conflict and terrorism,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),239,South Africa,ZAF,1993
Acute hepatitis,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),159,South Africa,ZAF,1993
Exposure to forces of nature,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),19,South Africa,ZAF,1993
Terrorism (deaths),Deaths - Terrorism (deaths) ---,,South Africa,ZAF,1993
Number of executions (Amnesty International),Deaths - Number of executions (Amnesty International) ---,,South Africa,ZAF,1993
Cardiovascular diseases,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),53570,South Africa,ZAF,1994
Neoplasms,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),33863,South Africa,ZAF,1994
Lower respiratory infections,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),27637,South Africa,ZAF,1994
HIV/AIDS,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),23747,South Africa,ZAF,1994
Interpersonal violence,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),23300,South Africa,ZAF,1994
Diarrheal diseases,Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),22105,South Africa,ZAF,1994
Neonatal disorders,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),20425,South Africa,ZAF,1994
Road injuries,Deaths - Road injuries - Sex: Both - Age: All Ages (Number),20124,South Africa,ZAF,1994
Tuberculosis,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),19179,South Africa,ZAF,1994
Chronic respiratory diseases,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),15125,South Africa,ZAF,1994
Diabetes mellitus,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),10987,South Africa,ZAF,1994
