region,Year,Death Numbers
Africa,1990,7003473
Africa,1991,7131655
Africa,1992,7278192
Africa,1993,7452785
Africa,1994,8174008
Africa,1995,7846242
Africa,1996,8082195
Africa,1997,8299180
Africa,1998,8490772
Africa,1999,8674724
Africa,2000,8803349
Africa,2001,8869410
Africa,2002,8983760
Africa,2003,9085707
Africa,2004,9103845
Africa,2005,9064752
Africa,2006,9043730
Africa,2007,8957147
Africa,2008,8858211
Africa,2009,8787852
Africa,2010,8699113
Africa,2011,8593202
Africa,2012,8489906
Africa,2013,8434682
Africa,2014,8415937
Africa,2015,8396203
Africa,2016,8363156
Africa,2017,8325386
Africa,2018,8258508
Africa,2019,8245169
