region,Year,Death Numbers
Europe,1990,7392692
Europe,1991,7495014
Europe,1992,7657736
Europe,1993,8038564
Europe,1994,8262578
Europe,1995,8265242
Europe,1996,8105956
Europe,1997,7961669
Europe,1998,7889486
Europe,1999,8081328
Europe,2000,8120940
Europe,2001,8133284
Europe,2002,8238763
Europe,2003,8292836
Europe,2004,8170262
Europe,2005,8279424
Europe,2006,8062725
Europe,2007,8005938
Europe,2008,8029409
Europe,2009,7892109
Europe,2010,7885714
Europe,2011,7752509
Europe,2012,7765937
Europe,2013,7739931
Europe,2014,7763537
Europe,2015,7966471
Europe,2016,7937761
Europe,2017,7916427
Europe,2018,8036869
Europe,2019,8145638
