Entity,cca3,Year,population
Africa,,1990,6.30349685E8
Africa,,1991,6.47344041E8
Africa,,1992,6.64512034E8
Africa,,1993,6.81869333E8
Africa,,1994,6.99445412E8
Africa,,1995,7.17270112E8
Africa,,1996,7.35361106E8
Africa,,1997,7.53737584E8
Africa,,1998,7.72437161E8
Africa,,1999,7.91504165E8
Africa,,2000,8.1098423E8
Africa,,2001,8.30902539E8
Africa,,2002,8.51298437E8
Africa,,2003,8.72248336E8
Africa,,2004,8.93842786E8
Africa,,2005,9.16154285E8
Africa,,2006,9.39210049E8
Africa,,2007,9.63021837E8
Africa,,2008,9.87623519E8
Africa,,2009,1.013045724E9
Africa,,2010,1.03930403E9
Africa,,2011,1.066409711E9
Africa,,2012,1.094343029E9
Africa,,2013,1.123045137E9
Africa,,2014,1.152433617E9
Africa,,2015,1.182438803E9
Africa,,2016,1.213040542E9
Africa,,2017,1.244222269E9
Africa,,2018,1.275921014E9
Africa,,2019,1.308064176E9
Africa,,2020,1.340598111E9
Africa,,2021,1.373486472E9
Africa,,2022,1.406728758E9
