Entity,cca3,Year,population
Asia,,1990,3.225332306E9
Asia,,1991,3.282162202E9
Asia,,1992,3.336711023E9
Asia,,1993,3.389426674E9
Asia,,1994,3.441075571E9
Asia,,1995,3.492231607E9
Asia,,1996,3.542977808E9
Asia,,1997,3.593141515E9
Asia,,1998,3.642754205E9
Asia,,1999,3.691810055E9
Asia,,2000,3.740320064E9
Asia,,2001,3.788325086E9
Asia,,2002,3.83590328E9
Asia,,2003,3.883141056E9
Asia,,2004,3.930136052E9
Asia,,2005,3.976958795E9
Asia,,2006,4.023634376E9
Asia,,2007,4.070151228E9
Asia,,2008,4.116490551E9
Asia,,2009,4.162614712E9
Asia,,2010,4.208481106E9
Asia,,2011,4.254064787E9
Asia,,2012,4.299327145E9
Asia,,2013,4.344187451E9
Asia,,2014,4.388547197E9
Asia,,2015,4.432314335E9
Asia,,2016,4.475437603E9
Asia,,2017,4.517860329E9
Asia,,2018,4.559477874E9
Asia,,2019,4.600172691E9
Asia,,2020,4.639847425E9
Asia,,2021,4.678444992E9
Asia,,2022,4.715932246E9
