Entity,cca3,Year,population
Europe,,1990,7.21627205E8
Europe,,1991,7.23558978E8
Europe,,1992,7.25190636E8
Europe,,1993,7.26475543E8
Europe,,1994,7.2736646E8
Europe,,1995,7.27849824E8
Europe,,1996,7.27893714E8
Europe,,1997,7.27560614E8
Europe,,1998,7.27050549E8
Europe,,1999,7.2663149E8
Europe,,2000,7.26503736E8
Europe,,2001,7.26734626E8
Europe,,2002,7.27291447E8
Europe,,2003,7.28130218E8
Europe,,2004,7.29162659E8
Europe,,2005,7.30317947E8
Europe,,2006,7.31594768E8
Europe,,2007,7.33004672E8
Europe,,2008,7.34500455E8
Europe,,2009,7.3602388E8
Europe,,2010,7.37528015E8
Europe,,2011,7.3897788E8
Europe,,2012,7.40362612E8
Europe,,2013,7.41688141E8
Europe,,2014,7.42972976E8
Europe,,2015,7.44222365E8
Europe,,2016,7.45441379E8
Europe,,2017,7.46596841E8
Europe,,2018,7.47608696E8
Europe,,2019,7.48381389E8
Europe,,2020,7.48843405E8
Europe,,2021,7.48962983E8
Europe,,2022,7.48767215E8
