Entity,cca3,Year,population
Oceania,,1990,2.7298693E7
Oceania,,1991,2.7725243E7
Oceania,,1992,2.8147954E7
Oceania,,1993,2.8566202E7
Oceania,,1994,2.897999E7
Oceania,,1995,2.9389629E7
Oceania,,1996,2.9796471E7
Oceania,,1997,3.0201872E7
Oceania,,1998,3.0607344E7
Oceania,,1999,3.1014222E7
Oceania,,2000,3.1425087E7
Oceania,,2001,3.1837552E7
Oceania,,2002,3.2254898E7
Oceania,,2003,3.2691407E7
Oceania,,2004,3.3165766E7
Oceania,,2005,3.3690212E7
Oceania,,2006,3.4271072E7
Oceania,,2007,3.4900926E7
Oceania,,2008,3.5561162E7
Oceania,,2009,3.6225138E7
Oceania,,2010,3.6873069E7
Oceania,,2011,3.7498324E7
Oceania,,2012,3.8104732E7
Oceania,,2013,3.8695742E7
Oceania,,2014,3.927863E7
Oceania,,2015,3.9858693E7
Oceania,,2016,4.0435631E7
Oceania,,2017,4.1006479E7
Oceania,,2018,4.1570823E7
Oceania,,2019,4.2128048E7
Oceania,,2020,4.2677809E7
Oceania,,2021,4.3219954E7
Oceania,,2022,4.3755196E7
