Entity,cca3,Year,population
South America,,1990,2.95398177E8
South America,,1991,3.00829462E8
South America,,1992,3.06228628E8
South America,,1993,3.11601582E8
South America,,1994,3.16958269E8
South America,,1995,3.22302316E8
South America,,1996,3.27635132E8
South America,,1997,3.32943537E8
South America,,1998,3.38199117E8
South America,,1999,3.43364515E8
South America,,2000,3.4841189E8
South America,,2001,3.5333349E8
South America,,2002,3.58133213E8
South America,,2003,3.6280967E8
South America,,2004,3.67365342E8
South America,,2005,3.71804635E8
South America,,2006,3.76122783E8
South America,,2007,3.80325055E8
South America,,2008,3.84439475E8
South America,,2009,3.88503344E8
South America,,2010,3.92543695E8
South America,,2011,3.96571751E8
South America,,2012,4.00581563E8
South America,,2013,4.04561948E8
South America,,2014,4.084938E8
South America,,2015,4.12362689E8
South America,,2016,4.16164871E8
South America,,2017,4.1990392E8
South America,,2018,4.23581098E8
South America,,2019,4.27199425E8
South America,,2020,4.30759771E8
South America,,2021,4.34260137E8
South America,,2022,4.37694436E8
