Entity,cca3,Year,population
Aruba,ABW,1990,62152.0
Aruba,ABW,1991,64623.0
Aruba,ABW,1992,68240.0
Aruba,ABW,1993,72495.0
Aruba,ABW,1994,76705.0
Aruba,ABW,1995,80324.0
Aruba,ABW,1996,83211.0
Aruba,ABW,1997,85450.0
Aruba,ABW,1998,87280.0
Aruba,ABW,1999,89009.0
Aruba,ABW,2000,90866.0
Aruba,ABW,2001,92892.0
Aruba,ABW,2002,94992.0
Aruba,ABW,2003,97016.0
Aruba,ABW,2004,98744.0
Aruba,ABW,2005,100028.0
Aruba,ABW,2006,100830.0
Aruba,ABW,2007,101226.0
Aruba,ABW,2008,101362.0
Aruba,ABW,2009,101452.0
Aruba,ABW,2010,101665.0
Aruba,ABW,2011,102050.0
Aruba,ABW,2012,102565.0
Aruba,ABW,2013,103165.0
Aruba,ABW,2014,103776.0
Aruba,ABW,2015,104339.0
Aruba,ABW,2016,104865.0
Aruba,ABW,2017,105361.0
Aruba,ABW,2018,105846.0
Aruba,ABW,2019,106310.0
Aruba,ABW,2020,106766.0
Aruba,ABW,2021,107195.0
Aruba,ABW,2022,107612.0
