Entity,cca3,Year,population
Afghanistan,AFG,1990,1.2412311E7
Afghanistan,AFG,1991,1.3299016E7
Afghanistan,AFG,1992,1.4485543E7
Afghanistan,AFG,1993,1.5816601E7
Afghanistan,AFG,1994,1.7075728E7
Afghanistan,AFG,1995,1.8110662E7
Afghanistan,AFG,1996,1.8853444E7
Afghanistan,AFG,1997,1.9357126E7
Afghanistan,AFG,1998,1.973777E7
Afghanistan,AFG,1999,2.0170847E7
Afghanistan,AFG,2000,2.0779957E7
Afghanistan,AFG,2001,2.1606992E7
Afghanistan,AFG,2002,2.2600774E7
Afghanistan,AFG,2003,2.3680871E7
Afghanistan,AFG,2004,2.4726689E7
Afghanistan,AFG,2005,2.5654274E7
Afghanistan,AFG,2006,2.6433058E7
Afghanistan,AFG,2007,2.7100542E7
Afghanistan,AFG,2008,2.7722281E7
Afghanistan,AFG,2009,2.8394806E7
Afghanistan,AFG,2010,2.9185511E7
Afghanistan,AFG,2011,3.0117411E7
Afghanistan,AFG,2012,3.1161378E7
Afghanistan,AFG,2013,3.2269592E7
Afghanistan,AFG,2014,3.3370803E7
Afghanistan,AFG,2015,3.4413603E7
Afghanistan,AFG,2016,3.5383028E7
Afghanistan,AFG,2017,3.6296111E7
Afghanistan,AFG,2018,3.7171922E7
Afghanistan,AFG,2019,3.8041757E7
Afghanistan,AFG,2020,3.8928341E7
Afghanistan,AFG,2021,3.9835428E7
Afghanistan,AFG,2022,4.0754385E7
