Entity,cca3,Year,population
Angola,AGO,1990,1.1848385E7
Angola,AGO,1991,1.2248901E7
Angola,AGO,1992,1.2657361E7
Angola,AGO,1993,1.3075044E7
Angola,AGO,1994,1.3503753E7
Angola,AGO,1995,1.3945205E7
Angola,AGO,1996,1.4400722E7
Angola,AGO,1997,1.4871572E7
Angola,AGO,1998,1.53596E7
Angola,AGO,1999,1.5866871E7
Angola,AGO,2000,1.6395476E7
Angola,AGO,2001,1.6945753E7
Angola,AGO,2002,1.7519418E7
Angola,AGO,2003,1.8121477E7
Angola,AGO,2004,1.8758138E7
Angola,AGO,2005,1.9433604E7
Angola,AGO,2006,2.0149905E7
Angola,AGO,2007,2.090536E7
Angola,AGO,2008,2.1695636E7
Angola,AGO,2009,2.2514275E7
Angola,AGO,2010,2.3356247E7
Angola,AGO,2011,2.422066E7
Angola,AGO,2012,2.5107925E7
Angola,AGO,2013,2.6015786E7
Angola,AGO,2014,2.6941773E7
Angola,AGO,2015,2.788438E7
Angola,AGO,2016,2.8842482E7
Angola,AGO,2017,2.9816769E7
Angola,AGO,2018,3.0809787E7
Angola,AGO,2019,3.1825299E7
Angola,AGO,2020,3.2866267E7
Angola,AGO,2021,3.3933611E7
Angola,AGO,2022,3.502734E7
