Entity,cca3,Year,population
Anguilla,AIA,1990,8894.0
Anguilla,AIA,1991,9138.0
Anguilla,AIA,1992,9333.0
Anguilla,AIA,1993,9491.0
Anguilla,AIA,1994,9661.0
Anguilla,AIA,1995,9868.0
Anguilla,AIA,1996,10117.0
Anguilla,AIA,1997,10388.0
Anguilla,AIA,1998,10684.0
Anguilla,AIA,1999,10979.0
Anguilla,AIA,2000,11247.0
Anguilla,AIA,2001,11520.0
Anguilla,AIA,2002,11756.0
Anguilla,AIA,2003,11993.0
Anguilla,AIA,2004,12230.0
Anguilla,AIA,2005,12442.0
Anguilla,AIA,2006,12660.0
Anguilla,AIA,2007,12862.0
Anguilla,AIA,2008,13056.0
Anguilla,AIA,2009,13248.0
Anguilla,AIA,2010,13436.0
Anguilla,AIA,2011,13612.0
Anguilla,AIA,2012,13794.0
Anguilla,AIA,2013,13952.0
Anguilla,AIA,2014,14114.0
Anguilla,AIA,2015,14279.0
Anguilla,AIA,2016,14435.0
Anguilla,AIA,2017,14588.0
Anguilla,AIA,2018,14738.0
Anguilla,AIA,2019,14872.0
Anguilla,AIA,2020,15002.0
Anguilla,AIA,2021,15125.0
Anguilla,AIA,2022,15225.0
