Entity,cca3,Year,population
Albania,ALB,1990,3286070.0
Albania,ALB,1991,3280397.0
Albania,ALB,1992,3245887.0
Albania,ALB,1993,3195196.0
Albania,ALB,1994,3146518.0
Albania,ALB,1995,3112923.0
Albania,ALB,1996,3098699.0
Albania,ALB,1997,3099747.0
Albania,ALB,1998,3110699.0
Albania,ALB,1999,3122700.0
Albania,ALB,2000,3129246.0
Albania,ALB,2001,3129701.0
Albania,ALB,2002,3126183.0
Albania,ALB,2003,3118017.0
Albania,ALB,2004,3104893.0
Albania,ALB,2005,3086810.0
Albania,ALB,2006,3063021.0
Albania,ALB,2007,3033993.0
Albania,ALB,2008,3002683.0
Albania,ALB,2009,2973044.0
Albania,ALB,2010,2948029.0
Albania,ALB,2011,2928601.0
Albania,ALB,2012,2914091.0
Albania,ALB,2013,2903788.0
Albania,ALB,2014,2896307.0
Albania,ALB,2015,2890524.0
Albania,ALB,2016,2886427.0
Albania,ALB,2017,2884169.0
Albania,ALB,2018,2882735.0
Albania,ALB,2019,2880913.0
Albania,ALB,2020,2877800.0
Albania,ALB,2021,2872934.0
Albania,ALB,2022,2866378.0
