Entity,cca3,Year,population
Netherlands Antilles,ANT,1990,295861.0
Netherlands Antilles,ANT,2000,280398.0
Netherlands Antilles,ANT,2001,283512.0
Netherlands Antilles,ANT,2002,286625.0
Netherlands Antilles,ANT,2003,289739.0
Netherlands Antilles,ANT,2004,292853.0
Netherlands Antilles,ANT,2005,295966.0
Netherlands Antilles,ANT,2006,299080.0
Netherlands Antilles,ANT,2007,302193.0
Netherlands Antilles,ANT,2008,305307.0
Netherlands Antilles,ANT,2009,308420.0
Netherlands Antilles,ANT,2010,311534.0
Netherlands Antilles,ANT,2011,312928.0
Netherlands Antilles,ANT,2012,314322.0
Netherlands Antilles,ANT,2013,315716.0
Netherlands Antilles,ANT,2014,317110.0
Netherlands Antilles,ANT,2015,318504.0
Netherlands Antilles,ANT,2016,319898.0
Netherlands Antilles,ANT,2017,321292.0
