Entity,cca3,Year,population
United Arab Emirates,ARE,1990,1828437.0
United Arab Emirates,ARE,1991,1937159.0
United Arab Emirates,ARE,1992,2052891.0
United Arab Emirates,ARE,1993,2173135.0
United Arab Emirates,ARE,1994,2294377.0
United Arab Emirates,ARE,1995,2415099.0
United Arab Emirates,ARE,1996,2539121.0
United Arab Emirates,ARE,1997,2671361.0
United Arab Emirates,ARE,1998,2813214.0
United Arab Emirates,ARE,1999,2966029.0
United Arab Emirates,ARE,2000,3134067.0
United Arab Emirates,ARE,2001,3302722.0
United Arab Emirates,ARE,2002,3478769.0
United Arab Emirates,ARE,2003,3711931.0
United Arab Emirates,ARE,2004,4068577.0
United Arab Emirates,ARE,2005,4588222.0
United Arab Emirates,ARE,2006,5300172.0
United Arab Emirates,ARE,2007,6168846.0
United Arab Emirates,ARE,2008,7089486.0
United Arab Emirates,ARE,2009,7917368.0
United Arab Emirates,ARE,2010,8549998.0
United Arab Emirates,ARE,2011,8946778.0
United Arab Emirates,ARE,2012,9141598.0
United Arab Emirates,ARE,2013,9197908.0
United Arab Emirates,ARE,2014,9214182.0
United Arab Emirates,ARE,2015,9262896.0
United Arab Emirates,ARE,2016,9360975.0
United Arab Emirates,ARE,2017,9487206.0
United Arab Emirates,ARE,2018,9630966.0
United Arab Emirates,ARE,2019,9770526.0
United Arab Emirates,ARE,2020,9890400.0
United Arab Emirates,ARE,2021,9991083.0
United Arab Emirates,ARE,2022,1.0081782E7
