Entity,cca3,Year,population
American Samoa,ASM,1990,47351.0
American Samoa,ASM,1991,48682.0
American Samoa,ASM,1992,49900.0
American Samoa,ASM,1993,51025.0
American Samoa,ASM,1994,52099.0
American Samoa,ASM,1995,53158.0
American Samoa,ASM,1996,54209.0
American Samoa,ASM,1997,55227.0
American Samoa,ASM,1998,56180.0
American Samoa,ASM,1999,57049.0
American Samoa,ASM,2000,57816.0
American Samoa,ASM,2001,58496.0
American Samoa,ASM,2002,59077.0
American Samoa,ASM,2003,59495.0
American Samoa,ASM,2004,59684.0
American Samoa,ASM,2005,59557.0
American Samoa,ASM,2006,59109.0
American Samoa,ASM,2007,58367.0
American Samoa,ASM,2008,57490.0
American Samoa,ASM,2009,56675.0
American Samoa,ASM,2010,56084.0
American Samoa,ASM,2011,55755.0
American Samoa,ASM,2012,55669.0
American Samoa,ASM,2013,55717.0
American Samoa,ASM,2014,55791.0
American Samoa,ASM,2015,55806.0
American Samoa,ASM,2016,55739.0
American Samoa,ASM,2017,55617.0
American Samoa,ASM,2018,55461.0
American Samoa,ASM,2019,55312.0
American Samoa,ASM,2020,55197.0
American Samoa,ASM,2021,55103.0
American Samoa,ASM,2022,55032.0
