Entity,cca3,Year,population
Australia,AUS,1990,1.69606E7
Australia,AUS,1991,1.7189235E7
Australia,AUS,1992,1.7402179E7
Australia,AUS,1993,1.7603211E7
Australia,AUS,1994,1.7798526E7
Australia,AUS,1995,1.7993083E7
Australia,AUS,1996,1.8189274E7
Australia,AUS,1997,1.8387205E7
Australia,AUS,1998,1.8587027E7
Australia,AUS,1999,1.8788187E7
Australia,AUS,2000,1.8991434E7
Australia,AUS,2001,1.9194676E7
Australia,AUS,2002,1.9401366E7
Australia,AUS,2003,1.9624163E7
Australia,AUS,2004,1.9879654E7
Australia,AUS,2005,2.0178543E7
Australia,AUS,2006,2.05263E7
Australia,AUS,2007,2.0916339E7
Australia,AUS,2008,2.1332293E7
Australia,AUS,2009,2.1750852E7
Australia,AUS,2010,2.2154687E7
Australia,AUS,2011,2.2538002E7
Australia,AUS,2012,2.2903951E7
Australia,AUS,2013,2.3254912E7
Australia,AUS,2014,2.3596426E7
Australia,AUS,2015,2.3932499E7
Australia,AUS,2016,2.426271E7
Australia,AUS,2017,2.4584619E7
Australia,AUS,2018,2.4898153E7
Australia,AUS,2019,2.52032E7
Australia,AUS,2020,2.5499881E7
Australia,AUS,2021,2.5788217E7
Australia,AUS,2022,2.6068793E7
