Entity,cca3,Year,population
Austria,AUT,1990,7723954.0
Austria,AUT,1991,7772698.0
Austria,AUT,1992,7830938.0
Austria,AUT,1993,7892089.0
Austria,AUT,1994,7947215.0
Austria,AUT,1995,7990113.0
Austria,AUT,1996,8017852.0
Austria,AUT,1997,8032873.0
Austria,AUT,1998,8041054.0
Austria,AUT,1999,8051116.0
Austria,AUT,2000,8069276.0
Austria,AUT,2001,8097755.0
Austria,AUT,2002,8134403.0
Austria,AUT,2003,8175855.0
Austria,AUT,2004,8216809.0
Austria,AUT,2005,8253656.0
Austria,AUT,2006,8285344.0
Austria,AUT,2007,8313731.0
Austria,AUT,2008,8341525.0
Austria,AUT,2009,8372657.0
Austria,AUT,2010,8409945.0
Austria,AUT,2011,8453501.0
Austria,AUT,2012,8502230.0
Austria,AUT,2013,8556191.0
Austria,AUT,2014,8615205.0
Austria,AUT,2015,8678667.0
Austria,AUT,2016,8747306.0
Austria,AUT,2017,8819902.0
Austria,AUT,2018,8891383.0
Austria,AUT,2019,8955108.0
Austria,AUT,2020,9006400.0
Austria,AUT,2021,9043072.0
Austria,AUT,2022,9066712.0
