Entity,cca3,Year,population
Azerbaijan,AZE,1990,7242758.0
Azerbaijan,AZE,1991,7357945.0
Azerbaijan,AZE,1992,7471924.0
Azerbaijan,AZE,1993,7581754.0
Azerbaijan,AZE,1994,7683704.0
Azerbaijan,AZE,1995,7775418.0
Azerbaijan,AZE,1996,7855558.0
Azerbaijan,AZE,1997,7925668.0
Azerbaijan,AZE,1998,7989903.0
Azerbaijan,AZE,1999,8054126.0
Azerbaijan,AZE,2000,8122743.0
Azerbaijan,AZE,2001,8197295.0
Azerbaijan,AZE,2002,8277065.0
Azerbaijan,AZE,2003,8361433.0
Azerbaijan,AZE,2004,8448938.0
Azerbaijan,AZE,2005,8538610.0
Azerbaijan,AZE,2006,8630153.0
Azerbaijan,AZE,2007,8724237.0
Azerbaijan,AZE,2008,8821869.0
Azerbaijan,AZE,2009,8924383.0
Azerbaijan,AZE,2010,9032465.0
Azerbaijan,AZE,2011,9146277.0
Azerbaijan,AZE,2012,9264684.0
Azerbaijan,AZE,2013,9385467.0
Azerbaijan,AZE,2014,9505616.0
Azerbaijan,AZE,2015,9622741.0
Azerbaijan,AZE,2016,9736041.0
Azerbaijan,AZE,2017,9845316.0
Azerbaijan,AZE,2018,9949537.0
Azerbaijan,AZE,2019,1.0047719E7
Azerbaijan,AZE,2020,1.0139175E7
Azerbaijan,AZE,2021,1.0223344E7
Azerbaijan,AZE,2022,1.0300196E7
