Entity,cca3,Year,population
Burundi,BDI,1990,5438959.0
Burundi,BDI,1991,5564923.0
Burundi,BDI,1992,5685569.0
Burundi,BDI,1993,5798054.0
Burundi,BDI,1994,5898964.0
Burundi,BDI,1995,5987044.0
Burundi,BDI,1996,6060110.0
Burundi,BDI,1997,6122130.0
Burundi,BDI,1998,6185564.0
Burundi,BDI,1999,6267132.0
Burundi,BDI,2000,6378871.0
Burundi,BDI,2001,6525546.0
Burundi,BDI,2002,6704118.0
Burundi,BDI,2003,6909161.0
Burundi,BDI,2004,7131688.0
Burundi,BDI,2005,7364857.0
Burundi,BDI,2006,7607850.0
Burundi,BDI,2007,7862226.0
Burundi,BDI,2008,8126104.0
Burundi,BDI,2009,8397661.0
Burundi,BDI,2010,8675606.0
Burundi,BDI,2011,8958406.0
Burundi,BDI,2012,9245992.0
Burundi,BDI,2013,9540302.0
Burundi,BDI,2014,9844301.0
Burundi,BDI,2015,1.0160034E7
Burundi,BDI,2016,1.0488002E7
Burundi,BDI,2017,1.082701E7
Burundi,BDI,2018,1.1175379E7
Burundi,BDI,2019,1.1530577E7
Burundi,BDI,2020,1.1890781E7
Burundi,BDI,2021,1.2255429E7
Burundi,BDI,2022,1.2624845E7
