Entity,cca3,Year,population
Belgium,BEL,1990,1.0006545E7
Belgium,BEL,1991,1.003945E7
Belgium,BEL,1992,1.0078098E7
Belgium,BEL,1993,1.0118684E7
Belgium,BEL,1994,1.0155909E7
Belgium,BEL,1995,1.0186304E7
Belgium,BEL,1996,1.0208265E7
Belgium,BEL,1997,1.0223785E7
Belgium,BEL,1998,1.0237298E7
Belgium,BEL,1999,1.0255161E7
Belgium,BEL,2000,1.0282046E7
Belgium,BEL,2001,1.0319026E7
Belgium,BEL,2002,1.0364879E7
Belgium,BEL,2003,1.0419029E7
Belgium,BEL,2004,1.0480118E7
Belgium,BEL,2005,1.0546885E7
Belgium,BEL,2006,1.0619484E7
Belgium,BEL,2007,1.0697576E7
Belgium,BEL,2008,1.0778764E7
Belgium,BEL,2009,1.0859934E7
Belgium,BEL,2010,1.0938735E7
Belgium,BEL,2011,1.101386E7
Belgium,BEL,2012,1.1085355E7
Belgium,BEL,2013,1.1154008E7
Belgium,BEL,2014,1.1221225E7
Belgium,BEL,2015,1.1287931E7
Belgium,BEL,2016,1.1354407E7
Belgium,BEL,2017,1.1419752E7
Belgium,BEL,2018,1.148218E7
Belgium,BEL,2019,1.1539326E7
Belgium,BEL,2020,1.1589616E7
Belgium,BEL,2021,1.1632334E7
Belgium,BEL,2022,1.1668276E7
