Entity,cca3,Year,population
Benin,BEN,1990,4978489.0
Benin,BEN,1991,5149496.0
Benin,BEN,1992,5331805.0
Benin,BEN,1993,5521761.0
Benin,BEN,1994,5714215.0
Benin,BEN,1995,5905552.0
Benin,BEN,1996,6094272.0
Benin,BEN,1997,6281644.0
Benin,BEN,1998,6470275.0
Benin,BEN,1999,6664102.0
Benin,BEN,2000,6865946.0
Benin,BEN,2001,7076728.0
Benin,BEN,2002,7295400.0
Benin,BEN,2003,7520556.0
Benin,BEN,2004,7750003.0
Benin,BEN,2005,7982223.0
Benin,BEN,2006,8216893.0
Benin,BEN,2007,8454790.0
Benin,BEN,2008,8696915.0
Benin,BEN,2009,8944713.0
Benin,BEN,2010,9199254.0
Benin,BEN,2011,9460829.0
Benin,BEN,2012,9729254.0
Benin,BEN,2013,1.0004594E7
Benin,BEN,2014,1.0286839E7
Benin,BEN,2015,1.0575962E7
Benin,BEN,2016,1.0872072E7
Benin,BEN,2017,1.1175192E7
Benin,BEN,2018,1.1485035E7
Benin,BEN,2019,1.1801151E7
Benin,BEN,2020,1.2123198E7
Benin,BEN,2021,1.2451031E7
Benin,BEN,2022,1.2784728E7
