Entity,cca3,Year,population
Bonaire Sint Eustatius and Saba,BES,1990,13010.0
Bonaire Sint Eustatius and Saba,BES,1991,13430.0
Bonaire Sint Eustatius and Saba,BES,1992,13936.0
Bonaire Sint Eustatius and Saba,BES,1993,14451.0
Bonaire Sint Eustatius and Saba,BES,1994,14858.0
Bonaire Sint Eustatius and Saba,BES,1995,15101.0
Bonaire Sint Eustatius and Saba,BES,1996,15163.0
Bonaire Sint Eustatius and Saba,BES,1997,15082.0
Bonaire Sint Eustatius and Saba,BES,1998,14889.0
Bonaire Sint Eustatius and Saba,BES,1999,14632.0
Bonaire Sint Eustatius and Saba,BES,2000,14387.0
Bonaire Sint Eustatius and Saba,BES,2001,14131.0
Bonaire Sint Eustatius and Saba,BES,2002,13882.0
Bonaire Sint Eustatius and Saba,BES,2003,13755.0
Bonaire Sint Eustatius and Saba,BES,2004,13886.0
Bonaire Sint Eustatius and Saba,BES,2005,14399.0
Bonaire Sint Eustatius and Saba,BES,2006,15338.0
Bonaire Sint Eustatius and Saba,BES,2007,16645.0
Bonaire Sint Eustatius and Saba,BES,2008,18163.0
Bonaire Sint Eustatius and Saba,BES,2009,19648.0
Bonaire Sint Eustatius and Saba,BES,2010,20941.0
Bonaire Sint Eustatius and Saba,BES,2011,21998.0
Bonaire Sint Eustatius and Saba,BES,2012,22840.0
Bonaire Sint Eustatius and Saba,BES,2013,23512.0
Bonaire Sint Eustatius and Saba,BES,2014,24067.0
Bonaire Sint Eustatius and Saba,BES,2015,24571.0
Bonaire Sint Eustatius and Saba,BES,2016,25017.0
Bonaire Sint Eustatius and Saba,BES,2017,25399.0
Bonaire Sint Eustatius and Saba,BES,2018,25709.0
Bonaire Sint Eustatius and Saba,BES,2019,25983.0
Bonaire Sint Eustatius and Saba,BES,2020,26221.0
Bonaire Sint Eustatius and Saba,BES,2021,26445.0
Bonaire Sint Eustatius and Saba,BES,2022,26643.0
