Entity,cca3,Year,population
Bangladesh,BGD,1990,1.03171957E8
Bangladesh,BGD,1991,1.05599125E8
Bangladesh,BGD,1992,1.07983708E8
Bangladesh,BGD,1993,1.10350641E8
Bangladesh,BGD,1994,1.12737684E8
Bangladesh,BGD,1995,1.15169933E8
Bangladesh,BGD,1996,1.17649927E8
Bangladesh,BGD,1997,1.20160571E8
Bangladesh,BGD,1998,1.22682818E8
Bangladesh,BGD,1999,1.25189655E8
Bangladesh,BGD,2000,1.27657862E8
Bangladesh,BGD,2001,1.30088709E8
Bangladesh,BGD,2002,1.32478076E8
Bangladesh,BGD,2003,1.34791598E8
Bangladesh,BGD,2004,1.36986429E8
Bangladesh,BGD,2005,1.39035505E8
Bangladesh,BGD,2006,1.40921154E8
Bangladesh,BGD,2007,1.42660381E8
Bangladesh,BGD,2008,1.44304164E8
Bangladesh,BGD,2009,1.45924795E8
Bangladesh,BGD,2010,1.47575433E8
Bangladesh,BGD,2011,1.49273134E8
Bangladesh,BGD,2012,1.51005733E8
Bangladesh,BGD,2013,1.52761413E8
Bangladesh,BGD,2014,1.54517385E8
Bangladesh,BGD,2015,1.56256287E8
Bangladesh,BGD,2016,1.57977151E8
Bangladesh,BGD,2017,1.59685421E8
Bangladesh,BGD,2018,1.61376713E8
Bangladesh,BGD,2019,1.63046173E8
Bangladesh,BGD,2020,1.64689383E8
Bangladesh,BGD,2021,1.66303494E8
Bangladesh,BGD,2022,1.6788568E8
