Entity,cca3,Year,population
Bulgaria,BGR,1990,8841466.0
Bulgaria,BGR,1991,8767000.0
Bulgaria,BGR,1992,8676379.0
Bulgaria,BGR,1993,8576042.0
Bulgaria,BGR,1994,8474822.0
Bulgaria,BGR,1995,8379305.0
Bulgaria,BGR,1996,8291969.0
Bulgaria,BGR,1997,8211804.0
Bulgaria,BGR,1998,8137669.0
Bulgaria,BGR,1999,8067005.0
Bulgaria,BGR,2000,7997951.0
Bulgaria,BGR,2001,7930700.0
Bulgaria,BGR,2002,7866242.0
Bulgaria,BGR,2003,7804306.0
Bulgaria,BGR,2004,7744630.0
Bulgaria,BGR,2005,7686964.0
Bulgaria,BGR,2006,7631020.0
Bulgaria,BGR,2007,7576675.0
Bulgaria,BGR,2008,7524084.0
Bulgaria,BGR,2009,7473509.0
Bulgaria,BGR,2010,7425011.0
Bulgaria,BGR,2011,7378652.0
Bulgaria,BGR,2012,7334007.0
Bulgaria,BGR,2013,7290092.0
Bulgaria,BGR,2014,7245648.0
Bulgaria,BGR,2015,7199739.0
Bulgaria,BGR,2016,7151948.0
Bulgaria,BGR,2017,7102452.0
Bulgaria,BGR,2018,7051610.0
Bulgaria,BGR,2019,7000117.0
Bulgaria,BGR,2020,6948445.0
Bulgaria,BGR,2021,6896655.0
Bulgaria,BGR,2022,6844591.0
