Entity,cca3,Year,population
Bahrain,BHR,1990,495927.0
Bahrain,BHR,1991,509762.0
Bahrain,BHR,1992,523082.0
Bahrain,BHR,1993,536212.0
Bahrain,BHR,1994,549590.0
Bahrain,BHR,1995,563698.0
Bahrain,BHR,1996,578661.0
Bahrain,BHR,1997,594927.0
Bahrain,BHR,1998,613697.0
Bahrain,BHR,1999,636540.0
Bahrain,BHR,2000,664610.0
Bahrain,BHR,2001,697550.0
Bahrain,BHR,2002,735140.0
Bahrain,BHR,2003,778708.0
Bahrain,BHR,2004,829846.0
Bahrain,BHR,2005,889157.0
Bahrain,BHR,2006,958423.0
Bahrain,BHR,2007,1035924.0
Bahrain,BHR,2008,1114645.0
Bahrain,BHR,2009,1185075.0
Bahrain,BHR,2010,1240864.0
Bahrain,BHR,2011,1278153.0
Bahrain,BHR,2012,1299942.0
Bahrain,BHR,2013,1315029.0
Bahrain,BHR,2014,1336073.0
Bahrain,BHR,2015,1371853.0
Bahrain,BHR,2016,1425793.0
Bahrain,BHR,2017,1494077.0
Bahrain,BHR,2018,1569440.0
Bahrain,BHR,2019,1641164.0
Bahrain,BHR,2020,1701583.0
Bahrain,BHR,2021,1748295.0
Bahrain,BHR,2022,1783985.0
