Entity,cca3,Year,population
Bahamas,BHS,1990,256226.0
Bahamas,BHS,1991,261007.0
Bahamas,BHS,1992,266028.0
Bahamas,BHS,1993,271065.0
Bahamas,BHS,1994,275849.0
Bahamas,BHS,1995,280179.0
Bahamas,BHS,1996,283980.0
Bahamas,BHS,1997,287363.0
Bahamas,BHS,1998,290600.0
Bahamas,BHS,1999,294063.0
Bahamas,BHS,2000,298045.0
Bahamas,BHS,2001,302618.0
Bahamas,BHS,2002,307657.0
Bahamas,BHS,2003,313123.0
Bahamas,BHS,2004,318893.0
Bahamas,BHS,2005,324848.0
Bahamas,BHS,2006,331032.0
Bahamas,BHS,2007,337387.0
Bahamas,BHS,2008,343680.0
Bahamas,BHS,2009,349600.0
Bahamas,BHS,2010,354936.0
Bahamas,BHS,2011,359583.0
Bahamas,BHS,2012,363581.0
Bahamas,BHS,2013,367162.0
Bahamas,BHS,2014,370625.0
Bahamas,BHS,2015,374200.0
Bahamas,BHS,2016,377923.0
Bahamas,BHS,2017,381749.0
Bahamas,BHS,2018,385635.0
Bahamas,BHS,2019,389486.0
Bahamas,BHS,2020,393248.0
Bahamas,BHS,2021,396914.0
Bahamas,BHS,2022,400515.0
