Entity,cca3,Year,population
Bosnia and Herzegovina,BIH,1990,4463422.0
Bosnia and Herzegovina,BIH,1991,4369320.0
Bosnia and Herzegovina,BIH,1992,4233673.0
Bosnia and Herzegovina,BIH,1993,4078940.0
Bosnia and Herzegovina,BIH,1994,3936527.0
Bosnia and Herzegovina,BIH,1995,3829049.0
Bosnia and Herzegovina,BIH,1996,3764419.0
Bosnia and Herzegovina,BIH,1997,3736070.0
Bosnia and Herzegovina,BIH,1998,3734338.0
Bosnia and Herzegovina,BIH,1999,3743353.0
Bosnia and Herzegovina,BIH,2000,3751176.0
Bosnia and Herzegovina,BIH,2001,3755514.0
Bosnia and Herzegovina,BIH,2002,3759389.0
Bosnia and Herzegovina,BIH,2003,3762179.0
Bosnia and Herzegovina,BIH,2004,3764194.0
Bosnia and Herzegovina,BIH,2005,3765332.0
Bosnia and Herzegovina,BIH,2006,3765422.0
Bosnia and Herzegovina,BIH,2007,3762791.0
Bosnia and Herzegovina,BIH,2008,3754261.0
Bosnia and Herzegovina,BIH,2009,3735945.0
Bosnia and Herzegovina,BIH,2010,3705478.0
Bosnia and Herzegovina,BIH,2011,3661173.0
Bosnia and Herzegovina,BIH,2012,3604972.0
Bosnia and Herzegovina,BIH,2013,3542598.0
Bosnia and Herzegovina,BIH,2014,3482106.0
Bosnia and Herzegovina,BIH,2015,3429362.0
Bosnia and Herzegovina,BIH,2016,3386263.0
Bosnia and Herzegovina,BIH,2017,3351534.0
Bosnia and Herzegovina,BIH,2018,3323929.0
Bosnia and Herzegovina,BIH,2019,3300998.0
Bosnia and Herzegovina,BIH,2020,3280815.0
Bosnia and Herzegovina,BIH,2021,3263459.0
Bosnia and Herzegovina,BIH,2022,3249313.0
