Entity,cca3,Year,population
Belarus,BLR,1990,1.0151135E7
Belarus,BLR,1991,1.0160785E7
Belarus,BLR,1992,1.0154338E7
Belarus,BLR,1993,1.0135133E7
Belarus,BLR,1994,1.010828E7
Belarus,BLR,1995,1.0077606E7
Belarus,BLR,1996,1.0044854E7
Belarus,BLR,1997,1.0009393E7
Belarus,BLR,1998,9969986.0
Belarus,BLR,1999,9924440.0
Belarus,BLR,2000,9871635.0
Belarus,BLR,2001,9811399.0
Belarus,BLR,2002,9745932.0
Belarus,BLR,2003,9679235.0
Belarus,BLR,2004,9616628.0
Belarus,BLR,2005,9562083.0
Belarus,BLR,2006,9516884.0
Belarus,BLR,2007,9480514.0
Belarus,BLR,2008,9452855.0
Belarus,BLR,2009,9433159.0
Belarus,BLR,2010,9420576.0
Belarus,BLR,2011,9415316.0
Belarus,BLR,2012,9417045.0
Belarus,BLR,2013,9423502.0
Belarus,BLR,2014,9431742.0
Belarus,BLR,2015,9439424.0
Belarus,BLR,2016,9445638.0
Belarus,BLR,2017,9450233.0
Belarus,BLR,2018,9452615.0
Belarus,BLR,2019,9452409.0
Belarus,BLR,2020,9449321.0
Belarus,BLR,2021,9442867.0
Belarus,BLR,2022,9432804.0
