Entity,cca3,Year,population
Belize,BLZ,1990,187554.0
Belize,BLZ,1991,191136.0
Belize,BLZ,1992,194324.0
Belize,BLZ,1993,197625.0
Belize,BLZ,1994,201679.0
Belize,BLZ,1995,206962.0
Belize,BLZ,1996,213660.0
Belize,BLZ,1997,221575.0
Belize,BLZ,1998,230248.0
Belize,BLZ,1999,238979.0
Belize,BLZ,2000,247310.0
Belize,BLZ,2001,255068.0
Belize,BLZ,2002,262387.0
Belize,BLZ,2003,269428.0
Belize,BLZ,2004,276516.0
Belize,BLZ,2005,283798.0
Belize,BLZ,2006,291338.0
Belize,BLZ,2007,299031.0
Belize,BLZ,2008,306822.0
Belize,BLZ,2009,314655.0
Belize,BLZ,2010,322465.0
Belize,BLZ,2011,330236.0
Belize,BLZ,2012,338001.0
Belize,BLZ,2013,345707.0
Belize,BLZ,2014,353366.0
Belize,BLZ,2015,360926.0
Belize,BLZ,2016,368399.0
Belize,BLZ,2017,375775.0
Belize,BLZ,2018,383071.0
Belize,BLZ,2019,390351.0
Belize,BLZ,2020,397621.0
Belize,BLZ,2021,404915.0
Belize,BLZ,2022,412201.0
