Entity,cca3,Year,population
Bermuda,BMU,1990,61630.0
Bermuda,BMU,1991,62012.0
Bermuda,BMU,1992,62391.0
Bermuda,BMU,1993,62750.0
Bermuda,BMU,1994,63101.0
Bermuda,BMU,1995,63439.0
Bermuda,BMU,1996,63770.0
Bermuda,BMU,1997,64092.0
Bermuda,BMU,1998,64390.0
Bermuda,BMU,1999,64703.0
Bermuda,BMU,2000,65016.0
Bermuda,BMU,2001,65330.0
Bermuda,BMU,2002,65652.0
Bermuda,BMU,2003,65936.0
Bermuda,BMU,2004,66156.0
Bermuda,BMU,2005,66260.0
Bermuda,BMU,2006,66240.0
Bermuda,BMU,2007,66126.0
Bermuda,BMU,2008,65940.0
Bermuda,BMU,2009,65675.0
Bermuda,BMU,2010,65388.0
Bermuda,BMU,2011,65075.0
Bermuda,BMU,2012,64736.0
Bermuda,BMU,2013,64381.0
Bermuda,BMU,2014,64038.0
Bermuda,BMU,2015,63695.0
Bermuda,BMU,2016,63360.0
Bermuda,BMU,2017,63040.0
Bermuda,BMU,2018,62763.0
Bermuda,BMU,2019,62508.0
Bermuda,BMU,2020,62273.0
Bermuda,BMU,2021,62092.0
Bermuda,BMU,2022,61942.0
